       2      10       6      99       0      15       0     -999.000
      Alt            U            V       U_quality    V_quality
      15.0000     0.257854      2.05207    0.0330196    0.0153109
      25.0000     0.321570      2.40283    0.0211084   0.00968544
      35.0000     0.393413      2.68093    0.0131845   0.00592308
      45.0000     0.447264      2.77753    0.0106701   0.00477449
      55.0000     0.455054      2.78985    0.0106272   0.00474679
      65.0000     0.425902      2.78940    0.0107888   0.00481997
      75.0000     0.384423      2.79470    0.0107504   0.00479395
      85.0000     0.352538      2.82388    0.0105058   0.00466812
      95.0000     0.318115      2.86804    0.0100859   0.00445847
      105.000     0.295438      2.91985   0.00990774   0.00435893
      115.000     0.267375      2.96845   0.00990886   0.00433496
      125.000     0.216250      3.00595   0.00891014   0.00410718
      135.000     0.147404      3.02659   0.00841716   0.00440051
      145.000    0.0976643      3.03333   0.00798270   0.00448700
      155.000    0.0454075      3.04602   0.00732512   0.00419415
      165.000    0.0119198      3.06365   0.00711212   0.00416030
      175.000   -0.0282697      3.07389   0.00701907   0.00401882
      185.000   -0.0746601      3.09312   0.00699320   0.00400257
      195.000    -0.114613      3.11781   0.00690908   0.00403528
      205.000    -0.161501      3.14314   0.00693313   0.00397036
      215.000    -0.207538      3.16688   0.00712631   0.00409546
      225.000    -0.245636      3.20193   0.00717213   0.00420247
      235.000    -0.290067      3.23487   0.00735498   0.00421762
      245.000    -0.332014      3.27193   0.00752051   0.00432548
      255.000    -0.370603      3.30781   0.00757327   0.00448148
      265.000    -0.412718      3.33471   0.00751126   0.00437659
      275.000    -0.454495      3.36528   0.00736440   0.00431404
      285.000    -0.491361      3.39868   0.00732986   0.00443226
      295.000    -0.533779      3.41112   0.00739473   0.00439552
      305.000    -0.561227      3.43242   0.00760294   0.00451443
      315.000    -0.581862      3.46198   0.00777021   0.00472040
      325.000    -0.622020      3.47856   0.00761568   0.00452950
      335.000    -0.647366      3.50212   0.00762360   0.00455902
      345.000    -0.662600      3.53613   0.00763001   0.00468338
      355.000    -0.684005      3.54751   0.00748531   0.00450082
      365.000    -0.712256      3.55630   0.00742703   0.00446758
      375.000    -0.735243      3.57811   0.00747561   0.00462171
      385.000    -0.769441      3.58091   0.00750322   0.00456096
      395.000    -0.801178      3.57574   0.00755178   0.00461741
      405.000    -0.820265      3.58481   0.00753046   0.00473991
      415.000    -0.841511      3.58397   0.00769471   0.00472566
      425.000    -0.874329      3.57845   0.00769111   0.00473707
      435.000    -0.913672      3.57174   0.00764548   0.00484705
      445.000    -0.941931      3.53535   0.00776724   0.00483375
      455.000    -0.973966      3.52723   0.00797771   0.00497883
      465.000    -0.995313      3.53678   0.00816659   0.00522525
      475.000     -1.02561      3.51214   0.00805254   0.00505297
      485.000     -1.06567      3.49734   0.00811219   0.00509775
      495.000     -1.09495      3.51076   0.00824700   0.00533338
      505.000     -1.11754      3.51425   0.00835575   0.00528033
      515.000     -1.15114      3.51818   0.00849369   0.00540950
      525.000     -1.18857      3.52670   0.00881808   0.00578191
      535.000     -1.23084      3.53906   0.00909287   0.00582632
      545.000     -1.25364      3.57164   0.00909163   0.00579420
      555.000     -1.29497      3.59540   0.00963059   0.00630914
      565.000     -1.36237      3.58845    0.0108243   0.00691406
      575.000     -1.41145      3.61530   0.00997275   0.00640913
      585.000     -1.44300      3.65165   0.00930510   0.00619177
      595.000     -1.48892      3.65856   0.00941971   0.00611429
      605.000     -1.54615      3.66084   0.00951047   0.00619807
      615.000     -1.56966      3.67978   0.00962162   0.00643673
      625.000     -1.59221      3.67680   0.00950021   0.00619978
      635.000     -1.62695      3.68562   0.00941898   0.00615230
      645.000     -1.65158      3.71300   0.00950840   0.00644179
      655.000     -1.69883      3.71005   0.00965394   0.00637519
      665.000     -1.73280      3.70293   0.00992107   0.00655923
      675.000     -1.74403      3.69517   0.00992042   0.00680124
      685.000     -1.77830      3.65173    0.0101391   0.00676625
      695.000     -1.82467      3.60319    0.0104540   0.00705630
      705.000     -1.82689      3.56507    0.0110808   0.00771371
      715.000     -1.84925      3.48048    0.0117646   0.00802614
      725.000     -1.90055      3.38198    0.0124194   0.00850145
      735.000     -1.89202      3.29070    0.0131405   0.00932913
      745.000     -1.88691      3.12850    0.0141085   0.00983410
      755.000     -1.89156      2.92137    0.0152561    0.0107587
      765.000     -1.87619      2.69321    0.0156638    0.0114563
      775.000     -1.84478      2.40606    0.0156421    0.0111969
      785.000     -1.75109      2.10604    0.0159442    0.0114639
      795.000     -1.63061      1.81227    0.0159572    0.0117575
      805.000     -1.44167      1.51673    0.0163965    0.0117100
      815.000     -1.17869      1.26828    0.0167334    0.0119300
      825.000    -0.998635      1.05359    0.0158566    0.0116629
      835.000    -0.841442     0.902895    0.0149985    0.0107276
      845.000    -0.653512     0.783350    0.0149806    0.0107508
      855.000    -0.423644     0.689500    0.0151889    0.0112625
      865.000    -0.226003     0.594255    0.0161998    0.0115942
      875.000    -0.115177     0.490566    0.0170498    0.0121284
      885.000    0.0274418     0.419366    0.0177044    0.0128236
      895.000     0.174404     0.346883    0.0183989    0.0128897
      905.000     0.281108     0.254706    0.0194445    0.0135075
      915.000     0.414324     0.186888    0.0200806    0.0143649
      925.000     0.532625     0.162958    0.0215513    0.0148146
      935.000     0.577994     0.136962    0.0216291    0.0149035
      945.000     0.597511    0.0911392    0.0222389    0.0154360
      955.000     0.612477    0.0482287    0.0245093    0.0161754
      965.000     0.661187    0.0656438    0.0261210    0.0170540
      975.000     0.735086    0.0926451    0.0266009    0.0175832
      985.000     0.690844    0.0662861    0.0300432    0.0191694
      995.000     0.619579  -0.00458590    0.0371598    0.0243967
       2      10       6      99       0      30       0     -999.000
      Alt            U            V       U_quality    V_quality
      15.0000     0.158439      2.06327    0.0450720    0.0140806
      25.0000     0.204019      2.44517    0.0294103   0.00897772
      35.0000     0.321266      2.76142    0.0184198   0.00542843
      45.0000     0.397386      2.89105    0.0152318   0.00447511
      55.0000     0.405876      2.92379    0.0158644   0.00466593
      65.0000     0.380902      2.93265    0.0164077   0.00484701
      75.0000     0.343810      2.94836    0.0166754   0.00489272
      85.0000     0.299283      2.97869    0.0164734   0.00482249
      95.0000     0.253592      3.01646    0.0162172   0.00472417
      105.000     0.235589      3.06121    0.0158969   0.00461847
      115.000     0.205816      3.10878    0.0159272   0.00462516
      125.000     0.155415      3.15188    0.0161358   0.00467579
      135.000    0.0852306      3.18767    0.0162115   0.00471203
      145.000    0.0300249      3.21463    0.0163173   0.00474451
      155.000  -0.00868575      3.24283    0.0168299   0.00488094
      165.000   -0.0370949      3.27142    0.0171092   0.00495343
      175.000   -0.0819074      3.29024    0.0175648   0.00506777
      185.000    -0.106536      3.31478    0.0182061   0.00524596
      195.000    -0.139857      3.33189    0.0180301   0.00519726
      205.000    -0.120686      3.38558    0.0147444   0.00475312
      215.000   -0.0584083      3.46927    0.0153294   0.00524675
      225.000   -0.0950276      3.49051    0.0133527   0.00479088
      235.000    -0.111610      3.52411    0.0134561   0.00481649
      245.000    -0.125613      3.56676    0.0144586   0.00500904
      255.000    -0.180958      3.59034    0.0125827   0.00465524
      265.000    -0.115367      3.66164    0.0154302   0.00527403
      275.000    -0.189911      3.65156    0.0117405   0.00441124
      285.000    -0.174249      3.68797    0.0145557   0.00508466
      295.000    -0.248172      3.68011    0.0121679   0.00455834
      305.000    -0.254337      3.70589    0.0128366   0.00467334
      315.000    -0.266815      3.72458    0.0130977   0.00474597
      325.000    -0.324033      3.72967    0.0119585   0.00452184
      335.000    -0.288833      3.76833    0.0148757   0.00522523
      345.000    -0.401050      3.75123    0.0116387   0.00449622
      355.000    -0.333366      3.80112    0.0147354   0.00522072
      365.000    -0.416622      3.77650    0.0119105   0.00460234
      375.000    -0.391164      3.79915    0.0133957   0.00486982
      385.000    -0.445830      3.80537    0.0126768   0.00473413
      395.000    -0.474662      3.80507    0.0123466   0.00471326
