  FIPS
ST/MCD    MCD_NAME
09  01080  ANDOVER Town
09  01220  ANSONIA Town
09  01430  ASHFORD Town
09  02060  AVON Town
09  02760  BARKHAMSTED Town
09  03250  BEACON FALLS Town
09  04300  BERLIN Town
09  04580  BETHANY Town
09  04720  BETHEL Town
09  04930  BETHLEHEM Town
09  05910  BLOOMFIELD Town
09  06260  BOLTON Town
09  06820  BOZRAH Town
09  07310  BRANFORD Town
09  08070  BRIDGEPORT Town
09  08210  BRIDGEWATER Town
09  08490  BRISTOL Town
09  08980  BROOKFIELD Town
09  09190  BROOKLYN Town
09  10100  BURLINGTON Town
09  10940  CANAAN Town
09  12130  CANTERBURY Town
09  12270  CANTON Town
09  13810  CHAPLIN Town
09  14160  CHESHIRE Town
09  14300  CHESTER Town
09  15350  CLINTON Town
09  15910  COLCHESTER Town
09  16050  COLEBROOK Town
09  16400  COLUMBIA Town
09  17240  CORNWALL Town
09  17800  COVENTRY Town
09  18080  CROMWELL Town
09  18500  DANBURY Town
09  18850  DARIEN Town
09  19130  DEEP RIVER Town
09  19550  DERBY Town
09  20810  DURHAM Town
09  21860  EASTFORD Town
09  22070  EAST GRANBY Town
09  22280  EAST HADDAM Town
09  22490  EAST HAMPTON Town
09  22630  EAST HARTFORD Town
09  22910  EAST HAVEN Town
09  23400  EAST LYME Town
09  23890  EASTON Town
09  24800  EAST WINDSOR Town
09  25360  ELLINGTON Town
09  25990  ENFIELD Town
09  26270  ESSEX Town
09  26620  FAIRFIELD Town
09  27600  FARMINGTON Town
09  29910  FRANKLIN Town
09  31240  GLASTONBURY Town
09  32290  GOSHEN Town
09  32640  GRANBY Town
09  33620  GREENWICH Town
09  33900  GRISWOLD Town
09  34250  GROTON Town
09  34950  GUILFORD Town
09  35230  HADDAM Town
09  35650  HAMDEN Town
09  36000  HAMPTON Town
09  37070  HARTFORD Town
09  37140  HARTLAND Town
09  37280  HARWINTON Town
09  37910  HEBRON Town
09  40290  KENT Town
09  40500  KILLINGLY Town
09  40710  KILLINGWORTH Town
09  42390  LEBANON Town
09  42600  LEDYARD Town
09  43230  LISBON Town
09  43370  LITCHFIELD Town
09  44210  LYME Town
09  44560  MADISON Town
09  44700  MANCHESTER Town
09  44910  MANSFIELD Town
09  45820  MARLBOROUGH Town
09  46520  MERIDEN Town
09  46940  MIDDLEBURY Town
09  47080  MIDDLEFIELD Town
09  47360  MIDDLETOWN Town
09  47535  MILFORD Town
09  48620  MONROE Town
