-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
blyt        49718.000    1995     1     1     0
blyt        52274.750    2001    12    31    18
blyt     -2223206.565 -4830299.786  3510587.672
blyt           33.610     -114.715       85.888
blyt     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.618778     0.546481    -2.785451
49718.25     0.418700     0.575759    -3.473596
49718.50     0.931362     0.249000    -2.840461
49718.75     0.903249     0.564032    -4.291198
49719.00     1.143313     0.385434    -2.637452
49719.25     0.858151     0.264483    -2.133647
49719.50     0.833874    -0.075428    -1.504366
49719.75     0.509343     0.225669    -2.699597
49720.00     0.432679     0.218253    -1.362061
49720.25    -0.054281     0.292763    -1.964672
49720.50    -0.003863     0.092304    -2.049434
49720.75    -0.103646     0.486275    -2.913375
49721.00    -0.051740     0.483897    -1.741907
49721.25    -0.290503     0.510052    -2.027892
49721.50     0.112180     0.317331    -1.265151
49721.75    -0.011580     0.755889    -1.574448
49722.00    -0.016979     0.829024     1.173916
49722.25    -0.522509     0.720694     3.432592
49722.50    -0.052693     0.171246     4.998378
49722.75    -0.078235     0.233707     4.011297
49723.00     0.259183     0.153864     4.183053
49723.25     0.203062     0.104648     3.351017
49723.50     0.414882    -0.029993     2.737658
49723.75     0.165578     0.476113     0.636255
49724.00     0.070665     0.728687     1.321439
49724.25    -0.499258     0.977485     0.205902
49724.50    -0.752122     0.840843     0.809635
49724.75    -0.894284     1.144334    -1.147812
49725.00    -1.052584     1.100482     0.069503
49725.25    -1.507375     1.053602    -1.402476
49725.50    -1.239660     0.745871    -0.761344
49725.75    -1.154389     1.021754    -3.170615
49726.00    -0.893341     0.896168    -1.704907
49726.25    -1.121898     0.823852    -2.437142
49726.50    -0.902821     0.507057    -1.352771
49726.75    -0.971852     0.731282    -2.622524
49727.00    -0.777199     0.665792    -0.648887
49727.25    -0.994233     0.571538    -0.881352
49727.50    -0.871802     0.333276     0.058238
