Time,F-Scale,Location,County,State,Lat,Lon,Comments
1437,UNK,1 S GREEN VALLEY,TAZEWELL,IL,40.39,-89.64,BRIEF TOUCHDOWN. (ILX)
1715,UNK,5 W PADUCAH,MCCRACKEN,KY,37.07,-88.73,BRIEF TOUCHDOWN ONE MILE EAST OF WFO PADUCAH. DISSIPATED QUICKLY. (PAH)
1805,UNK,7 SW SPENCER,OWEN,IN,39.22,-86.86,SHERIFF RELAYED CITIZEN REPORT OF TOUCHDOWN DESTROYING A BARN IN FREEDOM. (IND)
1817,UNK,SPENCER,OWEN,IN,39.29,-86.77,COOPERATIVE OBSERVER REPORTS DEBRIS IN THE AIR ON THE NORTHSIDE OF SPENCER. (IND)
1833,UNK,VEEDERSBURG,FOUNTAIN,IN,40.11,-87.26,TOUCHDOWN AT MILE MARKER 15 ON INTERSTATE 74 JUST NORTHEAST OF VEEDERSBURG. REPORTED BY INDIANA STATE POLICE. (IND)
1853,UNK,6 E ATTICA,FOUNTAIN,IN,40.29,-87.13,SPOTTER NEAR ODELL IN TIPPECANOE COUNTY REPORTED TORNADO TOUCHDOWN JUST ACROSS FOUNTAIN COUNTY LINE. (IND)
1909,UNK,2 SE ELLETTSVILLE,MONROE,IN,39.21,-86.6,SPOTTER REPORTS TORNADO JUST SOUTHEAST OF ELLETTSVILLE. (IND)
1922,UNK,6 N ELKTON,TODD,KY,36.9,-87.16,TOUCHDOWN 2 MILES SOUTH OF CEDAR GROVE AT COLD BANK ROAD AND ST HIGHWAY 508. (PAH)
1922,UNK,6 N ELKTON,REYNOLDS,MO,37.24,-90.97,TOUCHDOWN 2 MILES SOUTH OF CEDAR GROVE AT COLD BANK ROAD AND ST HIGHWAY 507. (PAH)
1927,UNK,POLK,POLK,MO,37.73,-93.32,TORNADO REPORTED ON THE GROUND IN THE CITY OF POLK. (SGF)
1935,UNK,JEFFERSONVILLE,CLARK,IN,38.3,-85.73,TORNADO AT INTERSECTION OF SPRING AND EASTERN AND 10TH AND MAIN IN JEFFERSONVILLE. (LMK)
1938,UNK,1 W NEW ALBANY,FLOYD,IN,38.3,-85.84,STATE POLICE REPORT TORNADO ON GRAOUND AT MILE MARKER 14 ALONG INTERSTATE 64. (LMK)
1940,UNK,GEORGETOWN,FLOYD,IN,38.3,-85.97,TORNADO ON GROUND VICINITY OF GEORGETOWN. (LMK)
1943,UNK,MARENGO,CRAWFORD,IN,38.37,-86.34,*** 1 FATAL *** DELAYED REPORT...I FATALITY AND NUMEROUS INJURIES FROM TORNADO THAT TOUCHED DOWN IN MARENGO. (LMK)
1944,UNK,5 SE MADISONVILLE,HOPKINS,KY,37.29,-87.44,BETWEEN THE TOWNS OF BARNLEY AND EARLINGTON. (PAH)
1944,UNK,2 NW MONTROSE,LEE,IA,40.55,-91.44,TREE DAMAGE JUST NORTH AND NORTHWEST OF MONTROSE NEAR 3032 223RD AVE. (DVN)
1950,UNK,LOUISVILLE,JEFFERSON,KY,38.22,-85.74,AT 34TH AND RUDD STREETS. EXTENSIVE TREE AND WIRE DAMAGE. ALSO STRUCTURAL HOUSE DAMAGE. (LMK)
1952,UNK,MILLTOWN,CRAWFORD,IN,38.34,-86.27,(LMK)
2005,UNK,W BUCKNER,OLDHAM,KY,38.38,-85.43,TORNADO NEAR HWY 329 AND INTERSTATE 71 JUST WEST OF BUCKNER. (LMK)
2006,UNK,TRAFALGAR,JOHNSON,IN,39.42,-86.15,SPOTTER REPORTS ROPE TORNADO JUST NORTHWEST OF TRAFALGAR. (IND)
2010,UNK,BECKS MILL,WASHINGTON,IN,38.53,-86.15,TORNADO ON THE GROUND. (LMK)
2010,UNK,W SALEM,WASHINGTON,IN,38.6,-86.1,CONFIRMED TORNADO ON GROUND JUST WEST OF SALEM. (LMK)
2012,UNK,1 S MASONVILLE,DAVIESS,KY,37.66,-87.03,BRIEF TOUCHDOWN IN CORNFIELD. (PAH)
2023,UNK,6 SW EMINENCE,SHANNON,MO,37.09,-91.45,F0 TORNADO TOUCH DOWN CONFIRMED. TORNADO WAS 50 YARDS WIDE AND HAD A TRACK OF ONE TENTH OF A MILE LONG. THE TRACK MAY HAVE EXTENDED FROM NEAR MOUNTAIN VIEW TO EMINENCE (SGF)
