"Table 50.  Year-to-Date Exports of Crude Oil and Petroleum Products by Destination, January-September 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destination,,,Crude Oila,,Liquefied Petroleum Gases,Unfinished Oils,Finished Motor Gasoline,,,Motor Gasoline Blend. Comp.,,,Oxygenates,,,Distillate Fuel Oil,,,,,Kerosene,Finished Aviation Gasoline,Aviation Gasoline Blend. Comp.,Kerosene-Type Jet Fuel,Special Naphthas,Residual Fuel Oil,Petrochemical Feedstocks,,Waxes,"Petroleum
 Coke",Asphalt and Road Oil,Lubricants,Misc. Products,Total Products,Total Crude Oil and Products,Daily Average,,
,,,,Pentanes Plus,,,Reformulated,Conventional,Total,Reform-ulated ,Conven-tional,Total,Fuel Ethanol (FE),Methyl Tertiary Butyl Ether (MTBE),Other Oxygen-ates,15 ppm sulfur and under,Greater than 15 ppm to 500 ppm sulfur,501 to 2000 ppm,Greater than 2000 ppm,Total,,,,,,,Naphtha,Other Oils,,,,,,,,Crude Oil,Products,Total
,Argentina,,0,0,0,0,0,0,0,0,0,0,0,0,66,0,207,"1,032",0,"1,239",1,0,0,288,9,57,0,0,1,404,2,361,0,"2,428","2,428",0,9,9
,Australia,,0,0,502,0,0,0,0,0,9,9,0,0,7,0,4,0,0,4,0,0,0,0,1,9,0,0,4,"3,333",12,166,1,"4,048","4,048",0,15,15
,Bahamas,,0,0,14,0,13,351,363,0,531,531,0,0,362,0,110,190,0,300,3,0,0,297,0,"5,856",0,0,0,220,1,286,4,"8,236","8,236",0,30,30
,Bahrain,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,3,0,0,0
,Belgium,,0,0,0,0,0,0,0,0,2,2,0,0,59,0,276,550,0,826,0,0,0,0,56,688,0,0,7,"4,115",3,473,0,"6,229","6,229",0,23,23
,Belize,,0,0,0,0,0,177,177,0,0,0,0,0,0,0,0,281,0,281,0,0,0,59,0,0,0,0,0,0,0,3,0,520,520,0,2,2
,Brazil,,0,0,0,0,0,0,0,0,1,1,0,0,306,0,238,774,0,"1,012",0,0,0,397,12,437,0,0,2,"9,444",21,208,4,"11,844","11,844",0,43,43
,Canada,,"6,264","2,830","3,134",0,509,"2,946","3,455",0,2,2,0,114,62,0,"1,583","1,039",0,"2,623",250,0,0,"6,798",15,"5,213",0,0,753,"7,037","2,664","1,906",45,"36,902","43,166",23,135,158
,Cayman Islands,,0,0,0,0,0,162,162,0,7,7,0,0,0,0,0,530,0,530,0,0,0,56,0,0,0,0,0,0,2,8,0,765,765,0,3,3
,Chile,,0,0,0,0,0,609,609,0,0,0,0,0,0,0,"1,916","1,600",0,"3,516",0,0,0,261,2,1,0,0,3,689,194,781,0,"6,057","6,057",0,22,22
,China,,0,0,421,0,0,0,0,0,15,15,0,0,20,0,349,0,0,349,0,0,0,0,12,291,0,0,8,"1,817",101,474,4,"3,511","3,511",0,13,13
,Colombia,,0,0,27,0,0,0,0,0,0,0,0,0,5,0,409,675,0,"1,083",0,0,0,0,0,0,0,0,5,2,9,459,2,"1,593","1,593",0,6,6
,Costa Rica,,0,0,139,0,0,10,10,0,17,17,0,68,7,0,1,195,0,196,0,0,0,50,0,50,0,0,2,161,0,93,0,792,792,0,3,3
,Denmark,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,762,506,0,"1,268",0,0,0,0,0,0,0,0,0,872,0,198,0,"2,338","2,338",0,9,9
,Dominican Republic ,,0,0,538,0,0,8,8,0,1,1,0,0,0,0,831,566,0,"1,397",0,0,0,203,373,736,0,0,0,334,101,158,1,"3,852","3,852",0,14,14
,Ecuador,,0,0,340,0,0,0,0,0,0,0,0,0,0,0,"1,639","4,988",0,"6,627",0,0,0,0,298,"1,798",0,0,1,182,1,116,0,"9,362","9,362",0,34,34
,Egypt,,0,0,0,0,0,0,0,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,4,8,0,201,201,0,1,1
,El Salvador,,0,0,0,0,0,66,66,0,0,0,0,0,8,0,54,849,0,903,0,0,0,192,0,47,0,0,0,562,0,312,0,"2,091","2,091",0,8,8
,Finland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,678,0,679,0,0,0,0,0,0,0,0,0,212,1,13,0,905,905,0,3,3
,France,,0,0,42,0,0,0,0,0,0,0,0,961,121,0,0,275,0,275,0,0,0,0,0,1,0,0,5,"1,798",0,492,0,"3,696","3,696",0,14,14
,Germany,,0,0,9,0,0,1,1,0,1,1,0,0,24,0,0,0,0,0,0,0,0,0,0,920,0,0,9,885,8,105,6,"1,968","1,968",0,7,7
,Ghana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,5,5,0,0,0
,Gibraltar,,0,0,0,0,0,"1,415","1,415",0,0,0,0,55,0,0,238,850,0,"1,088",0,0,0,0,0,268,0,0,0,0,0,0,0,"2,826","2,826",0,10,10
,Greece,,0,0,0,0,0,0,0,0,2,2,0,0,0,0,293,0,0,293,0,0,0,0,0,471,0,0,0,583,0,17,0,"1,366","1,366",0,5,5
,Guatemala,,0,0,"1,143",0,0,425,425,0,21,21,0,0,0,0,689,"3,349",0,"4,038",2,0,0,333,4,649,0,0,1,449,3,252,0,"7,319","7,319",0,27,27
,Honduras,,0,0,567,0,8,172,180,0,0,0,0,0,0,0,293,"1,897",0,"2,190",0,0,0,205,0,"1,065",0,0,0,0,52,80,0,"4,340","4,340",0,16,16
,Hong Kong,,0,0,0,0,0,0,0,0,0,0,0,0,4,0,340,250,0,591,0,0,0,0,0,384,0,0,7,0,6,19,2,"1,013","1,013",0,4,4
,India,,0,0,0,0,0,0,0,0,1,1,0,2,152,0,16,0,0,16,0,0,0,0,0,108,0,0,8,"2,043",13,109,1,"2,452","2,452",0,9,9
,Indonesia,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,450,0,0,0,0,3,18,0,473,473,0,2,2
,Ireland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,363",0,1,6,"1,370","1,370",0,5,5
,Israel,,0,0,1,0,0,0,0,0,286,286,0,119,44,0,0,0,0,0,0,0,0,0,0,332,0,0,0,"1,237",0,21,"1,643","3,683","3,683",0,13,13
,Italy,,0,0,22,0,0,0,0,0,0,0,0,176,0,0,0,456,0,456,0,0,0,0,0,"1,946",0,0,2,"8,295",4,440,0,"11,341","11,341",0,42,42
,Jamaica,,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,261,0,261,0,0,0,0,1,"5,409",0,0,0,152,5,47,2,"6,035","6,035",0,22,22
,Japan,,0,0,505,0,1,2,3,0,2,2,0,5,851,0,1,0,0,1,0,0,0,0,942,"1,127",0,0,4,"12,324",11,201,20,"15,996","15,996",0,59,59
,"Korea, South",,24,0,513,0,0,0,0,0,2,2,0,76,77,0,69,0,0,69,0,0,0,0,228,"3,652",0,0,1,668,36,"1,195",3,"6,521","6,545",0,24,24
,Lebanon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,"1,248",0,"1,487",0,0,0,1,0,"3,388",0,0,0,814,0,5,0,"5,695","5,695",0,21,21
,Mexico,,6,0,"7,554",0,"3,497","25,122","28,620",0,582,582,0,"4,368",37,0,"2,427","3,431",0,"5,858",4,0,0,50,622,"4,862",0,0,434,"11,403",416,"2,902",156,"67,867","67,873",0,249,249
,Morocco,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,300",0,0,0,"2,300","2,300",0,8,8
,Mozambique,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,420,420,0,2,2
,Netherlands,,0,0,242,0,0,387,387,0,441,441,0,"4,070",51,0,"2,954","5,542",0,"8,496",0,0,0,833,282,"3,787",0,0,5,"3,365",5,271,213,"22,448","22,448",0,82,82
,Netherlands Antilles,,0,0,0,0,0,3,3,0,130,130,0,669,0,0,0,148,0,148,0,0,0,0,0,"1,486",0,0,0,0,0,312,0,"2,747","2,747",0,10,10
,New Zealand,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,0,10,0,592,592,0,2,2
,Nicaragua,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,0,637,0,0,0,0,0,0,0,0,0,200,0,56,2,896,896,0,3,3
,Nigeria,,0,0,0,0,0,280,280,0,0,0,0,0,0,0,240,299,0,539,0,0,0,0,0,270,0,0,0,47,6,164,0,"1,307","1,307",0,5,5
,Norway,,0,0,1,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,570,0,5,0,690,690,0,3,3
,Pakistan,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,17,25,25,0,0,0
,Panama,,0,0,0,0,0,351,351,0,5,5,0,0,0,0,"1,508","1,347",0,"2,854",0,0,0,70,254,"7,740",0,0,0,0,228,199,0,"11,701","11,701",0,43,43
,Peru,,0,0,0,0,0,40,40,0,0,0,0,0,0,0,406,989,0,"1,395",1,0,0,0,5,378,0,0,1,0,6,353,1,"2,179","2,179",0,8,8
,Philippines,,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,9,1,16,16,0,0,0
,Portugal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,749",0,26,0,"1,775","1,775",0,7,7
,Puerto Rico,,0,0,5,0,0,495,495,0,82,82,0,0,0,0,49,50,0,99,0,0,0,0,668,473,0,0,15,0,0,915,1,"2,753","2,753",0,10,10
,Romania,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,550,0,1,0,552,552,0,2,2
,Saudi Arabia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,0,1,325,0,22,0,385,385,0,1,1
,Serbia and Montenegro,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,167,167,0,1,1
,Singapore,,0,0,1,0,0,143,143,0,0,0,0,20,451,0,280,209,0,489,0,0,0,0,6,"10,291",0,0,0,0,2,811,1,"12,216","12,216",0,45,45
,South Africa,,0,0,1,0,0,0,0,0,65,65,0,0,2,0,0,245,0,245,0,0,0,0,0,0,0,0,0,995,1,114,0,"1,425","1,425",0,5,5
,Spain,,0,0,176,0,0,11,11,0,0,0,0,103,0,0,520,984,0,"1,504",0,0,0,0,0,"1,110",0,0,1,"8,922",0,252,0,"12,081","12,081",0,44,44
,Switzerland,,0,0,3,0,0,28,28,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,35,35,0,0,0
,Taiwan,,0,0,0,0,0,0,0,0,0,0,0,141,5,0,1,0,0,1,1,0,0,0,1,1,0,0,2,0,8,86,2,250,250,0,1,1
,Thailand,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,67,0,0,1,21,4,30,1,126,126,0,0,0
,Trinidad and Tobago,,0,0,22,0,0,0,0,0,0,0,0,0,2,0,230,0,0,230,0,0,0,0,0,4,0,0,1,0,0,54,12,323,323,0,1,1
,Turkey,,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,708",0,54,0,"3,783","3,783",0,14,14
,United Arab Emirates,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,227,85,16,0,353,353,0,1,1
,United Kingdom,,0,0,103,0,2,1,3,0,1,1,0,0,18,0,156,0,0,156,1,0,0,0,0,"3,622",0,0,4,"3,344",4,91,7,"7,354","7,354",0,27,27
,Venezuela,,0,0,2,0,0,0,0,0,0,0,0,"6,070",12,0,5,7,0,12,0,0,0,0,1,473,0,0,1,958,9,"2,462",0,"10,002","10,002",0,37,37
,Other,,0,0,34,0,61,11,72,0,66,66,0,800,13,0,124,946,0,"1,072",8,0,0,39,694,"4,405",0,0,6,"2,351",25,714,16,"10,301","10,301",0,38,38
Total,,,"6,294","2,830","16,065",0,"4,091","33,217","37,308",0,"2,278","2,278",0,"18,084","2,794",0,"19,459","37,873",0,"57,333",271,0,0,"10,191","4,497","74,323",0,0,"1,296","102,377","4,058","18,965","2,174","354,845","361,139",23,"1,300","1,323"
