#callSign,cycle_number,julian_day,ocean,date,time,time_qc,latitude,longitude,position_qc,data_center,data_mode
3900140,001,11290.445139,atlantic,2000-11-29,10:41,0,-5.071,-32.778,0,IF,R
3900140,001,11290.515278,atlantic,2000-11-29,12:22,0,-5.068,-32.783,0,IF,R
3900140,001,11290.618056,atlantic,2000-11-29,14:50,0,-5.066,-32.817,0,IF,R
3900140,001,11290.688889,atlantic,2000-11-29,16:32,0,-5.059,-32.830,0,IF,R
3900140,001,11290.725694,atlantic,2000-11-29,17:25,0,-5.069,-32.835,0,IF,R
3900140,001,11290.795833,atlantic,2000-11-29,19:06,0,-5.056,-32.859,0,IF,R
3900140,001,11290.809722,atlantic,2000-11-29,19:26,0,-5.051,-32.853,0,IF,R
3900140,001,11290.863889,atlantic,2000-11-29,20:44,0,-5.064,-32.879,0,IF,R
3900140,001,11290.933333,atlantic,2000-11-29,22:24,0,-5.054,-32.896,0,IF,R
3900140,001,11290.973611,atlantic,2000-11-29,23:22,0,-5.045,-32.908,0,IF,R
3900140,002,11300.617361,atlantic,2000-12-09,14:49,0,-5.086,-32.684,0,IF,R
3900140,002,11300.687500,atlantic,2000-12-09,16:30,0,-5.082,-32.697,0,IF,R
3900140,002,11300.713889,atlantic,2000-12-09,17:08,0,-5.084,-32.705,0,IF,R
3900140,002,11300.783333,atlantic,2000-12-09,18:48,0,-5.075,-32.710,0,IF,R
3900140,002,11300.788889,atlantic,2000-12-09,18:56,0,-5.080,-32.727,0,IF,R
3900140,002,11300.845833,atlantic,2000-12-09,20:18,0,-5.080,-32.732,0,IF,R
3900140,002,11300.857639,atlantic,2000-12-09,20:35,0,-5.076,-32.738,0,IF,R
3900140,002,11300.915278,atlantic,2000-12-09,21:58,0,-5.072,-32.751,0,IF,R
3900140,002,11300.952778,atlantic,2000-12-09,22:52,0,-5.074,-32.756,0,IF,R
3900140,002,11301.022222,atlantic,2000-12-10,00:32,0,-5.066,-32.770,0,IF,R
3900140,002,11301.151389,atlantic,2000-12-10,03:38,0,-5.059,-32.808,0,IF,R
3900140,003,11310.768056,atlantic,2000-12-19,18:26,0,-4.811,-32.333,0,IF,R
3900140,003,11310.771528,atlantic,2000-12-19,18:31,0,-4.810,-32.341,0,IF,R
3900140,003,11310.836806,atlantic,2000-12-19,20:05,0,-4.814,-32.354,0,IF,R
3900140,003,11310.840972,atlantic,2000-12-19,20:11,0,-4.819,-32.341,0,IF,R
3900140,003,11310.897222,atlantic,2000-12-19,21:32,0,-4.817,-32.385,0,IF,R
3900140,003,11311.001389,atlantic,2000-12-20,00:02,0,-4.815,-32.402,0,IF,R
3900140,003,11311.148611,atlantic,2000-12-20,03:34,0,-4.820,-32.434,0,IF,R
3900140,003,11311.218750,atlantic,2000-12-20,05:15,0,-4.829,-32.444,0,IF,R
3900140,003,11311.234722,atlantic,2000-12-20,05:38,0,-4.834,-32.453,0,IF,R
3900140,003,11311.296528,atlantic,2000-12-20,07:07,0,-4.839,-32.472,0,IF,R
3900140,003,11311.304167,atlantic,2000-12-20,07:18,0,-4.842,-32.468,0,IF,R
3900140,003,11311.365972,atlantic,2000-12-20,08:47,0,-4.848,-32.480,0,IF,R
3900140,004,11320.981250,atlantic,2000-12-29,23:33,0,-3.723,-32.299,0,IF,R
3900140,004,11321.050000,atlantic,2000-12-30,01:12,0,-3.715,-32.324,0,IF,R
3900140,004,11321.147222,atlantic,2000-12-30,03:32,0,-3.711,-32.367,0,IF,R
