 12960 HOUSTON                TX  -6  N29 59  W 95 22    33  1014
 61-90
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  2658 H4   251  2797 H4   747  1339 H5   121  6042 14569  6.9  6.4  1.45  0.06  16.37   6.05  11.23  12.48  75   242     9  4.0
  2  3417 H4   293  3396 H4   780  1576 H5   144  7304 15390  6.4  6.0  1.54  0.07  18.42   7.49  12.97  14.40  73   173    10  4.3
  3  4247 H4   355  3576 H4   764  2002 H5   145  8958 16369  6.6  6.1  1.88  0.09  22.43  11.49  16.98  18.31  73    89    32  4.5
  4  5013 H4   479  3794 H4   988  2384 H5   205 10335 17309  6.6  6.0  2.37  0.13  26.24  15.93  21.10  22.45  74    20    84  4.4
  5  5623 H4   453  4106 H4   828  2633 H5   162 11195 18055  6.3  5.7  2.86  0.16  29.34  19.47  24.42  25.59  75     0   176  4.0
  6  6022 H4   493  4557 H4   803  2720 H5   155 11518 18399  5.5  4.9  3.32  0.18  32.17  22.54  27.37  28.53  75     0   266  3.6
  7  5948 H4   384  4431 H4   653  2717 H5   131 11338 18156  5.7  4.9  3.50  0.19  33.48  23.67  28.59  29.57  75     0   314  3.2
  8  5606 H4   396  4393 H4   669  2500 H5   127 10621 17440  5.6  4.8  3.47  0.18  33.47  23.68  28.59  29.54  75     0   312  3.0
  9  4872 H4   382  4153 H4   747  2144 H5   133  9446 16539  5.5  4.9  3.16  0.16  31.18  21.77  26.49  27.63  76     0   229  3.3
 10  4193 H4   405  4348 H4   916  1653 H5   146  7895 15589  5.0  4.3  2.43  0.13  27.42  16.25  21.84  23.42  74    17   108  3.4
 11  3068 H4   329  3448 H4   943  1352 H5   140  6410 14724  5.7  5.3  1.95  0.09  22.44  11.54  17.00  18.41  75    95    40  3.8
 12  2493 H4   171  2757 H4   557  1247 H5    91  5654 14279  6.7  6.1  1.60  0.07  18.15   7.46  12.82  14.27  75   198    13  3.9
 13  4434 H4   122  3814 H4   235  2024 H5    64  8899 16406  6.0  5.4  2.47  0.13  25.93  15.61  20.79  22.08  75   839  1597  3.8
 1961
  1  2565 G4  1030  2695 G4  3084  1332 G5   472  6042 14569  7.2  6.5  1.36  0.05  14.94   4.50   9.72  11.25  76   263  9999  3.8
  2  3345 G4  1418  3461 G4  3408  1469 G5   514  7298 15386  6.4  6.0  1.84  0.06  20.11   8.61  14.39  16.24  82   126  9999  4.2
  3  4317 G4  1658  3802 G4  3599  1937 G5   716  8946 16362  6.1  5.8  2.28  0.10  24.56  14.06  19.33  20.92  76    31  9999  4.8
  4  5249 G4  1727  4460 G4  3625  2204 G5   762 10326 17302  5.6  5.3  2.29  0.12  25.72  14.28  20.00  21.94  72    34  9999  4.7
  5  5755 G4  1667  4268 G4  2860  2652 G5   560 11190 18050  6.0  5.2  2.93  0.15  30.44  19.56  25.00  26.56  73     0  9999  4.1
  6  5302 G4  1530  3436 G4  2407  2889 G5   392 11517 18399  6.5  6.2  3.39  0.18  31.44  22.33  26.89  28.02  78     0  9999  3.4
  7  5038 G4  1173  3026 G4  1643  2880 G5   290 11341 18160  6.9  6.4  3.66  0.16  32.28  23.94  28.11  28.88  79     0  9999  2.8
  8  5174 G4  1366  3914 G4  2456  2475 G5   470 10628 17447  6.1  5.5  3.46  0.14  32.94  22.78  27.89  28.88  77     0  9999  2.8
  9  4907 G4  1244  4295 G4  2381  2144 G5   473  9457 16547  5.0  4.9  3.22  0.14  31.22  21.72  26.50  27.84  75     0  9999  4.5
 10  4280 G4  1237  4655 G4  2817  1593 G5   487  7908 15597  4.3  3.9  2.48  0.12  28.00  14.78  21.39  23.90  75     9  9999  4.1
 11  2887 G4  1072  3075 G4  2802  1348 G5   416  6420 14729  6.3  6.0  1.94  0.08  20.78  10.06  15.44  16.95  80   102  9999  4.9
 12  2513 G4   925  2849 G4  3046  1247 G5   457  5655 14280  6.3  6.0  1.71  0.07  19.28   7.67  13.50  15.28  77   159  9999  4.9
 13  4282 G4  1743  3661 G4  2920  2017 G5   779  8901 16407  6.1  5.6  2.55  0.11  26.00  15.33  20.67  22.25  77   724 99999  4.1
 1962
  1  2639 G4  1036  2806 G4  3202  1339 G5   507  6042 14569  6.7  6.4  1.39  0.06  15.89   3.33   9.61  11.89  73   267  9999  5.5
  2  3276 G4  1249  3288 G4  3236  1501 G5   556  7298 15386  6.3  6.1  2.17  0.08  23.67  11.78  17.72  19.36  82    55  9999  5.3
  3  4181 G4  1575  3653 G4  3493  1925 G5   699  8946 16362  6.5  6.2  1.72  0.08  21.33   8.56  14.94  16.88  74   116  9999  4.9
  4  4931 G4  1309  3683 G4  2571  2421 G5   558 10326 17302  6.6  6.1  2.49  0.14  25.50  14.56  20.06  21.59  82    18  9999  5.1
  5  6276 G4  1058  5266 G4  2236  2513 G5   601 11190 18050  4.6  4.2  3.05  0.16  30.06  18.44  24.28  26.08  80     0  9999  5.1
  6  5363 G4  1386  3570 G4  2012  2842 G5   276 11517 18399  6.2  6.0  3.57  0.18  31.22  21.89  26.56  27.40  85     0  9999  3.6
  7  6649 G4   827  5621 G4  1684  2567 G5   488 11341 18160  4.0  3.5  3.76  0.19  34.67  23.22  28.94  30.18  79     0  9999  3.5
  8  6049 G4  1158  5361 G4  2192  2273 G5   476 10628 17447  4.2  3.9  3.71  0.16  36.00  23.89  29.94  31.09  76     0  9999  3.8
  9  4674 G4  1226  3997 G4  2409  2126 G5   485  9457 16547  5.6  5.2  3.57  0.14  32.44  22.28  27.39  28.56  82     0  9999  3.4
 10  4210 G4   955  4546 G4  2179  1634 G5   431  7908 15597  4.7  4.3  2.80  0.10  29.39  17.94  23.67  25.63  76     4  9999  3.9
 11  3187 G4  1205  3921 G4  3200  1246 G5   467  6420 14729  5.2  4.9  1.76  0.08  21.28   9.94  15.61  17.55  74    87  9999  4.6
 12  2284 G4   840  2117 G4  2657  1344 G5   413  5655 14280  7.6  7.1  1.64  0.06  17.61   7.67  12.67  14.23  80   174  9999  4.2
 13  4486 G4  1805  3994 G4  2795  1980 G5   728  8901 16407  5.7  5.3  2.64  0.12  26.61  15.28  20.94  22.55  78   721 99999  4.4
 1963
  1  2475 G4   911  2317 G4  2676  1396 G5   472  6042 14569  7.5  7.0  1.45  0.06  14.50   3.61   9.06  10.64  76   286  9999  4.9
  2  3648 G4  1224  4065 G4  3326  1462 G5   579  7298 15386  5.8  5.3  1.40  0.06  17.89   4.94  11.44  13.33  73   195  9999  5.2
  3  4192 G4  1398  3495 G4  3087  2007 G5   639  8946 16362  6.7  6.3  2.06  0.09  24.17  12.33  18.28  19.99  74    49  9999  5.3
  4  5051 G4  1491  3742 G4  2837  2399 G5   586 10326 17302  6.9  6.1  2.84  0.12  28.94  18.28  23.61  24.89  78     4  9999  5.6
  5  5597 G4  1202  4005 G4  2156  2731 G5   453 11190 18050  6.7  5.8  3.03  0.13  31.28  19.22  25.28  26.74  77     0  9999  4.2
  6  5701 G4  1430  4253 G4  2080  2680 G5   358 11517 18399  5.8  5.4  3.48  0.16  33.61  21.94  27.78  28.84  79     0  9999  3.8
  7  5898 G4  1182  4291 G4  1848  2817 G5   401 11341 18160  5.9  5.0  3.71  0.17  34.17  23.94  29.06  29.86  78     0  9999  3.7
  8  5782 G4   878  4616 G4  1784  2616 G5   459 10628 17447  4.7  4.2  3.48  0.19  34.89  23.22  29.06  30.27  73     0  9999  3.2
