 14826 FLINT                  MI  -5  N42 58  W 83 44   233   988
 61-90
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  1610 H4    96  1641 H4   283  1059 H5    84  3822 13043  7.7  7.1  0.61  0.07  -1.83  -9.91  -5.86  -4.51  75   748     0  5.2
  2  2456 H4   223  2352 H4   570  1457 H5   105  5327 14498  7.3  6.6  0.63  0.09  -0.41  -9.09  -4.74  -3.30  73   650     0  4.8
  3  3440 H4   214  2883 H4   589  1911 H5   156  7425 16240  7.2  6.4  0.86  0.11   5.71  -3.57   1.09   2.49  70   531     0  5.0
  4  4562 H4   306  3669 H4   642  2294 H5   126  9509 17940  6.9  6.0  1.18  0.13  13.28   2.23   7.78   9.41  66   316     3  4.9
  5  5574 H4   460  4372 H4   879  2636 H5   155 11019 19328  6.5  5.5  1.68  0.15  19.99   7.59  13.80  15.97  66   154    18  4.4
  6  6079 H4   405  4747 H4   771  2793 H5   154 11650 20013  6.2  5.1  2.30  0.17  24.97  12.64  18.81  20.97  68    40    57  4.0
  7  6013 H4   282  4901 H4   522  2690 H5   103 11335 19615  5.9  4.8  2.71  0.16  27.48  15.37  21.44  23.51  70     8   116  3.6
  8  5215 H4   384  4420 H4   800  2366 H5   149 10101 18347  5.9  5.0  2.62  0.15  26.24  14.37  20.32  22.28  73    17    89  3.5
  9  4006 H4   305  3650 H4   670  1915 H5   101  8221 16734  6.3  5.5  2.22  0.13  21.98  10.62  16.32  18.41  76    88    32  3.8
 10  2702 H4   191  2745 H4   553  1420 H5    84  6078 15016  6.8  6.0  1.49  0.11  15.39   4.72  10.07  12.02  73   255     2  4.2
 11  1633 H4   152  1538 H4   540  1066 H5    64  4275 13424  7.9  7.3  1.10  0.09   8.14   0.06   4.11   5.33  76   423     0  4.8
 12  1278 H4   111  1164 H4   457   917 H5    72  3390 12566  8.2  7.7  0.77  0.08   0.99  -6.35  -2.67  -1.44  77   647     0  4.9
 13  3719 H4    97  3177 H4   219  1879 H5    48  7689 16405  6.9  6.1  1.52  0.12  13.50   3.23   8.37  10.16  72  3881   319  4.4
 1961
  1  1596 G4   422  1917 G4  1595   986 G5   199  3822 13043  7.6  6.5  0.46  0.07  -2.00 -10.56  -6.28  -5.11  76   784  9999  4.3
  2  2233 G4   753  2023 G4  2432  1370 G5   393  5319 14491  7.9  7.1  0.80  0.09   3.06  -6.33  -1.61  -0.49  78   581  9999  4.4
  3  3136 G4  1135  2486 G4  2695  1874 G5   492  7408 16226  7.5  7.0  0.91  0.10   6.89  -1.28   2.83   3.54  72   488  9999  5.2
  4  3539 G4  1150  1831 G4  2159  2482 G5   413  9494 17928  8.4  7.9  1.05  0.12   9.00   0.78   4.89   6.57  73   386  9999  4.5
  5  5647 G4  1724  4538 G4  3158  2643 G5   531 11011 19319  5.8  5.0  1.37  0.19  17.56   5.00  11.28  13.80  65   218  9999  4.4
  6  6174 G4  1792  5137 G4  3033  2637 G5   581 11649 20012  5.6  4.5  2.18  0.16  23.78  11.67  17.72  20.39  68    48  9999  3.9
  7  5603 G4  1494  4276 G4  2518  2757 G5   383 11341 19622  6.2  5.6  2.66  0.15  26.44  15.11  20.78  23.27  71    13  9999  3.1
  8  4786 G4  1437  3749 G4  2890  2413 G5   571 10113 18358  6.4  5.7  2.61  0.17  26.06  15.11  20.61  22.02  78    12  9999  3.0
  9  4140 G4  1303  4349 G4  2896  1736 G5   489  8237 16747  5.1  4.6  2.77  0.12  24.22  13.28  18.78  20.95  77    57  9999  3.6
 10  2806 G4  1084  3096 G4  2824  1332 G5   381  6094 15029  6.2  5.7  1.51  0.10  16.56   5.72  11.17  13.47  76   205  9999  4.2
 11  1647 G4   558  1686 G4  1683  1024 G5   204  4286 13435  7.6  7.2  1.06  0.09   8.50  -0.28   4.11   5.24  77   443  9999  4.1
 12  1196 G4   348   983 G4  1255   877 G5   140  3391 12568  8.6  8.2  0.68  0.08   0.78  -6.56  -2.89  -1.47  79   657  9999  4.9
 13  3549 G4  2035  3011 G4  2789  1847 G5   806  7692 16407  6.9  6.2  1.51  0.12  13.39   3.50   8.44  10.23  74  3892 99999  4.1
 1962
  1  1623 G4   597  1757 G4  2283  1030 G5   301  3822 13043  7.4  7.0  0.60  0.08  -2.72 -11.28  -7.00  -6.59  78   808  9999  5.1
  2  2309 G4   665  1756 G4  2100  1591 G5   459  5319 14491  8.1  7.5  0.67  0.09  -1.56  -9.50  -5.50  -5.22  80   696  9999  4.6
  3  3534 G4  1143  2990 G4  2865  1904 G5   519  7408 16226  7.5  6.4  0.68  0.11   3.39  -4.06  -0.33   1.54  74   567  9999  4.4
  4  4649 G4  1553  4209 G4  3060  2151 G5   518  9494 17928  6.1  5.4  1.07  0.11  13.33   1.78   7.56   9.67  65   331  9999  4.8
  5  5650 G4  1756  4729 G4  3269  2497 G5   607 11011 19319  6.6  5.2  2.01  0.11  23.00  10.50  16.78  18.92  68   114  9999  4.1
  6  6137 G4  1760  5019 G4  3062  2667 G5   570 11649 20012  5.9  4.8  2.15  0.16  25.28  13.17  19.22  20.83  73    34  9999  3.4
  7  5630 G4  1506  4227 G4  2567  2768 G5   500 11341 19622  6.2  5.5  2.32  0.17  25.61  14.00  19.83  21.87  70    12  9999  3.2
  8  5290 G4  1632  4755 G4  2829  2260 G5   496 10113 18358  4.9  4.3  2.39  0.17  26.83  13.83  20.33  22.35  74    16  9999  3.1
  9  4090 G4  1224  3847 G4  2617  1886 G5   428  8237 16747  6.0  5.6  1.72  0.12  20.33   8.89  14.61  17.09  74   129  9999  3.7
 10  2680 G4   953  2735 G4  2266  1407 G5   315  6094 15029  6.9  6.1  1.59  0.09  16.39   5.72  11.06  12.86  79   232  9999  3.9
 11  1649 G4   518  1794 G4  2104  1030 G5   306  4286 13435  7.8  6.8  0.86  0.08   7.11  -0.94   3.11   4.90  77   464  9999  3.4
 12  1559 G4   390  2066 G4  1767   888 G5   230  3391 12568  7.0  6.0  0.56  0.08   0.17  -9.78  -4.78  -3.41  78   721  9999  4.5
 13  3741 G4  2067  3332 G4  2844  1841 G5   772  7692 16407  6.7  5.9  1.39  0.11  13.11   2.72   7.89   9.65  74  4124 99999  4.0
 1963
  1  1743 G4   604  1938 G4  2086  1096 G5   268  3822 13043  7.3  6.8  0.43  0.07  -6.33 -14.28 -10.28  -8.76  77   890  9999  4.3
  2  2624 G4   863  2723 G4  2405  1430 G5   290  5319 14491  7.0  6.2  0.47  0.07  -4.11 -14.50  -9.28  -7.37  75   775  9999  4.5
  3  3408 G4  1312  2995 G4  3138  1811 G5   563  7408 16226  7.4  6.4  0.88  0.09   6.28  -3.11   1.61   3.08  75   523  9999  5.1
  4  4582 G4  1574  4149 G4  3248  2092 G5   564  9494 17928  6.0  5.5  1.07  0.12  13.61   2.17   7.89  10.15  63   306  9999  4.8
  5  5533 G4  1600  4329 G4  3041  2656 G5   603 11011 19319  6.4  5.4  1.47  0.15  18.50   5.28  11.89  14.60  66   189  9999  4.5
  6  6489 G4  1633  5719 G4  3353  2579 G5   735 11649 20012  4.9  4.2  2.21  0.17  26.39  11.61  19.00  22.34  67    41  9999  3.3
  7  6359 G4  1368  5505 G4  2409  2623 G5   511 11341 19622  4.7  4.0  2.55  0.18  27.56  13.83  20.72  24.09  66    14  9999  3.5
  8  5023 G4  1543  4184 G4  3001  2363 G5   552 10113 18358  6.0  5.4  2.32  0.16  24.22  11.94  18.11  20.66  75    31  9999  3.5
  9  4233 G4  1254  4107 G4  2832  1873 G5   514  8237 16747  5.8  4.7  1.91  0.14  22.33   8.28  15.33  17.51  76   106  9999  2.9
 10  3269 G4  1029  4309 G4  2511  1198 G5   321  6094 15029  5.0  3.9  1.58  0.12  22.28   6.89  14.61  17.62  65   126  9999  3.4
 11  1546 G4   530  1272 G4  1561  1070 G5   222  4286 13435  8.0  7.6  1.14  0.10  11.06   1.56   6.33   7.79  75   356  9999  5.3
 12  1486 G4   488  2143 G4  2112   820 G5   219  3391 12568  6.1  5.9  0.49  0.09  -1.78 -10.67  -6.22  -4.41  74   757  9999  4.4
 13  3864 G4  2105  3620 G4  2972  1803 G5   797  7692 16407  6.2  5.5  1.38  0.12  13.33   1.61   7.50   9.87  71  4114 99999  4.1
 1964
  1  1504 G4   498  1613 G4  1847   974 G5   210  3822 13043  7.4  6.8  0.64  0.09   1.83  -6.61  -2.39  -1.03  70   638  9999  5.5
  2  2616 G4   904  3006 G4  2674  1314 G5   439  5353 14520  6.4  5.7  0.51  0.09   1.56  -8.44  -3.44  -1.28  67   628  9999  4.8
  3  3225 G4  1000  2253 G4  2203  2039 G5   393  7480 16285  7.7  6.9  0.74  0.13   6.78  -4.50   1.17   2.66  67   530  9999  5.5
  4  4563 G4  1538  3571 G4  3170  2341 G5   596  9556 17980  6.9  5.8  1.31  0.16  15.06   2.89   9.00  10.36  63   281  9999  5.5
  5  5900 G4  1643  4908 G4  3003  2608 G5   602 11046 19356  6.5  4.7  1.65  0.15  22.61   8.78  15.72  18.24  63   106  9999  4.7
