table with row headers in column A and column headers in rows 3 through 5 (leading dots indicate sub parts),,,,,,,,
"Table 2: Cumulative Estimates of Population Change for Counties of Kentucky and County Rankings: April 1, 2000 to July 1, 2005",,,,,,,,
.Geographic Area,Population estimates,,"Change, 2000 to 2005",,State ranking of counties,,,
,,,,,Population estimates,,"Change, 2000 to 2005",
,"July 1, 2005","April 1, 2000 estimates base",Number,Percent,"July 1, 2005","April 1, 2000 estimates base",Number,Percent
Kentucky,"4,173,405","4,042,285","131,120",3.2,(X),(X),(X),(X)
.Adair County,"17,573","17,244",329,1.9,62,63,66,66
.Allen County,"18,706","17,800",906,5.1,59,60,30,29
.Anderson County,"20,394","19,111","1,283",6.7,54,56,26,19
.Ballard County,"8,277","8,286",-9,-0.1,107,105,90,90
.Barren County,"40,073","38,033","2,040",5.4,24,23,20,25
.Bath County,"11,626","11,085",541,4.9,94,95,54,31
.Bell County,"29,665","30,060",-395,-1.3,36,36,110,105
.Boone County,"106,272","85,992","20,280",23.6,4,8,1,2
.Bourbon County,"19,833","19,360",473,2.4,56,55,57,58
.Boyd County,"49,594","49,752",-158,-0.3,17,16,102,94
.Boyle County,"28,363","27,697",666,2.4,39,38,46,60
.Bracken County,"8,670","8,279",391,4.7,105,106,62,33
.Breathitt County,"15,957","16,100",-143,-0.9,72,69,101,102
.Breckinridge County,"19,293","18,648",645,3.5,57,57,47,43
.Bullitt County,"68,474","61,236","7,238",11.8,11,13,3,7
.Butler County,"13,414","13,010",404,3.1,86,86,61,49
.Caldwell County,"12,973","13,060",-87,-0.7,88,85,97,99
.Calloway County,"35,122","34,177",945,2.8,30,28,29,56
.Campbell County,"87,251","88,616","-1,365",-1.5,8,7,117,107
.Carlisle County,"5,329","5,351",-22,-0.4,117,117,92,95
.Carroll County,"10,454","10,155",299,2.9,98,98,68,52
.Carter County,"27,306","26,889",417,1.6,40,39,60,71
.Casey County,"16,290","15,447",843,5.5,70,72,33,24
.Christian County,"70,145","72,309","-2,164",-3.0,10,9,120,114
.Clark County,"34,887","33,144","1,743",5.3,31,31,23,27
.Clay County,"24,146","24,556",-410,-1.7,48,43,113,109
.Clinton County,"9,559","9,634",-75,-0.8,102,102,96,100
.Crittenden County,"8,984","9,384",-400,-4.3,104,103,111,118
.Cumberland County,"7,147","7,147",-,0.0,112,112,89,89
.Daviess County,"93,060","91,545","1,515",1.7,7,6,25,68
.Edmonson County,"12,030","11,644",386,3.3,90,93,63,47
.Elliott County,"6,902","6,748",154,2.3,115,115,77,62
.Estill County,"15,089","15,307",-218,-1.4,77,73,105,106
.Fayette County,"268,080","260,512","7,568",2.9,2,2,2,53
.Fleming County,"14,610","13,792",818,5.9,78,80,38,22
.Floyd County,"42,218","42,441",-223,-0.5,22,21,107,98
.Franklin County,"48,207","47,687",520,1.1,18,17,55,73
.Fulton County,"7,217","7,752",-535,-6.9,111,111,114,120
.Gallatin County,"8,134","7,870",264,3.4,109,110,71,45
.Garrard County,"16,579","14,792","1,787",12.1,69,75,21,6
.Grant County,"24,610","22,384","2,226",9.9,44,51,16,10
.Graves County,"37,625","37,028",597,1.6,28,25,49,69
.Grayson County,"25,189","24,053","1,136",4.7,42,44,27,32
.Green County,"11,588","11,518",70,0.6,95,94,84,82
.Greenup County,"37,184","36,891",293,0.8,29,26,69,80
.Hancock County,"8,613","8,392",221,2.6,106,104,73,57
.Hardin County,"96,947","94,170","2,777",2.9,6,4,15,51
.Harlan County,"31,614","33,202","-1,588",-4.8,33,30,118,119
.Harrison County,"18,527","17,983",544,3.0,60,59,53,50
.Hart County,"18,319","17,449",870,5.0,61,62,32,30
.Henderson County,"45,573","44,829",744,1.7,20,20,42,67
.Henry County,"15,903","15,060",843,5.6,73,74,33,23
.Hickman County,"5,075","5,262",-187,-3.6,118,118,103,117
.Hopkins County,"46,705","46,519",186,0.4,19,19,75,85
.Jackson County,"13,618","13,495",123,0.9,84,81,82,76
.Jefferson County,"699,827","693,604","6,223",0.9,1,1,8,77
.Jessamine County,"43,463","39,041","4,422",11.3,21,22,10,8
.Johnson County,"24,001","23,445",556,2.4,49,45,52,61
.Kenton County,"153,665","151,463","2,202",1.5,3,3,17,72
.Knott County,"17,561","17,649",-88,-0.5,63,61,98,97
.Knox County,"32,069","31,795",274,0.9,32,34,70,79
.Larue County,"13,699","13,373",326,2.4,82,82,67,59
.Laurel County,"56,338","52,715","3,623",6.9,15,15,12,18
.Lawrence County,"16,166","15,569",597,3.8,71,71,49,39
.Lee County,"7,709","7,916",-207,-2.6,110,109,104,111
.Leslie County,"11,994","12,401",-407,-3.3,91,89,112,115
.Letcher County,"24,434","25,277",-843,-3.3,45,42,116,116
.Lewis County,"13,872","14,092",-220,-1.6,81,78,106,108
.Lincoln County,"25,122","23,361","1,761",7.5,43,46,22,16
.Livingston County,"9,760","9,804",-44,-0.4,101,101,94,96
.Logan County,"27,169","26,573",596,2.2,41,40,51,63
.Lyon County,"8,160","8,080",80,1.0,108,108,83,75
.McCracken County,"64,698","65,514",-816,-1.2,13,12,115,104
.McCreary County,"17,233","17,080",153,0.9,64,64,78,78
.McLean County,"9,926","9,938",-12,-0.1,100,100,91,91
.Madison County,"77,749","70,872","6,877",9.7,9,10,5,11
.Magoffin County,"13,472","13,332",140,1.1,85,83,79,74
.Marion County,"18,939","18,212",727,4.0,58,58,44,37
.Marshall County,"30,967","30,125",842,2.8,35,35,35,54
.Martin County,"12,215","12,578",-363,-2.9,89,88,109,113
.Mason County,"17,140","16,800",340,2.0,65,65,65,65
.Meade County,"28,447","26,349","2,098",8.0,38,41,19,13
.Menifee County,"6,809","6,556",253,3.9,116,116,72,38
.Mercer County,"21,610","20,817",793,3.8,53,53,39,40
.Metcalfe County,"10,197","10,037",160,1.6,99,99,76,70
.Monroe County,"11,660","11,756",-96,-0.8,93,92,99,101
.Montgomery County,"24,256","22,554","1,702",7.5,46,50,24,15
.Morgan County,"14,334","13,948",386,2.8,79,79,63,55
.Muhlenberg County,"31,548","31,840",-292,-0.9,34,33,108,103
.Nelson County,"41,088","37,477","3,611",9.6,23,24,13,12
.Nicholas County,"7,027","6,813",214,3.1,114,114,74,48
.Ohio County,"23,676","22,916",760,3.3,51,49,40,46
.Oldham County,"53,533","46,618","6,915",14.8,16,18,4,4
.Owen County,"11,374","10,547",827,7.8,97,97,36,14
.Owsley County,"4,746","4,858",-112,-2.3,119,119,100,110
.Pendleton County,"15,125","14,390",735,5.1,76,76,43,28
.Perry County,"29,452","29,422",30,0.1,37,37,86,87
.Pike County,"66,922","68,736","-1,814",-2.6,12,11,119,112
.Powell County,"13,687","13,237",450,3.4,83,84,58,44
.Pulaski County,"59,200","56,217","2,983",5.3,14,14,14,26
.Robertson County,"2,279","2,266",13,0.6,120,120,87,84
.Rockcastle County,"16,712","16,582",130,0.8,68,66,81,81
.Rowan County,"22,226","22,094",132,0.6,52,52,80,83
.Russell County,"17,020","16,315",705,4.3,67,68,45,36
.Scott County,"39,380","33,061","6,319",19.1,25,32,7,3
.Shelby County,"38,205","33,337","4,868",14.6,26,29,9,5
.Simpson County,"17,021","16,405",616,3.8,66,67,48,41
.Spencer County,"15,651","11,766","3,885",33.0,74,91,11,1
.Taylor County,"23,754","22,927",827,3.6,50,48,36,42
.Todd County,"11,944","11,970",-26,-0.2,92,90,93,92
.Trigg County,"13,349","12,597",752,6.0,87,87,41,21
.Trimble County,"9,023","8,125",898,11.1,103,107,31,9
.Union County,"15,592","15,637",-45,-0.3,75,70,95,93
.Warren County,"98,960","92,522","6,438",7.0,5,5,6,17
.Washington County,"11,399","10,916",483,4.4,96,96,56,35
.Wayne County,"20,352","19,923",429,2.2,55,54,59,64
.Webster County,"14,161","14,120",41,0.3,80,77,85,86
.Whitley County,"38,029","35,865","2,164",6.0,27,27,18,20
.Wolfe County,"7,070","7,065",5,0.1,113,113,88,88
.Woodford County,"24,246","23,208","1,038",4.5,47,47,28,34
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Dash (-) represents zero or rounds to zero.  (X) Not applicable",,,,,,,,
Suggested Citation:,,,,,,,,
"Table 2: Cumulative Estimates of Population Change for Counties of Kentucky and County Rankings: April 1, 2000 to July 1, 2005 (CO-EST2005-02-21)",,,,,,,,
"Source: Population Division, U.S. Census Bureau",,,,,,,,
"Release Date: March 16, 2006",,,,,,,,
