ATF	1
35	5
"Type=GenePix ArrayList V1.0"
"BlockCount=32"
"BlockType=0"
"Block1= 2000, 5500, 100, 24, 170, 25, 170"
"Block2= 6500, 5500, 100, 24, 170, 25, 170"
"Block3= 11000, 5500, 100, 24, 170, 25, 170"
"Block4= 15500, 5500, 100, 24, 170, 25, 170"
"Block5= 2000, 10000, 100, 24, 170, 25, 170"
"Block6= 6500, 10000, 100, 24, 170, 25, 170"
"Block7= 11000, 10000, 100, 24, 170, 25, 170"
"Block8= 15500, 10000, 100, 24, 170, 25, 170"
"Block9= 2000, 14500, 100, 24, 170, 25, 170"
"Block10= 6500, 14500, 100, 24, 170, 25, 170"
"Block11= 11000, 14500, 100, 24, 170, 25, 170"
"Block12= 15500, 14500, 100, 24, 170, 25, 170"
"Block13= 2000, 19000, 100, 24, 170, 25, 170"
"Block14= 6500, 19000, 100, 24, 170, 25, 170"
"Block15= 11000, 19000, 100, 24, 170, 25, 170"
"Block16= 15500, 19000, 100, 24, 170, 25, 170"
"Block17= 2000, 23500, 100, 24, 170, 25, 170"
"Block18= 6500, 23500, 100, 24, 170, 25, 170"
"Block19= 11000, 23500, 100, 24, 170, 25, 170"
"Block20= 15500, 23500, 100, 24, 170, 25, 170"
"Block21= 2000, 28000, 100, 24, 170, 25, 170"
"Block22= 6500, 28000, 100, 24, 170, 25, 170"
"Block23= 11000, 28000, 100, 24, 170, 25, 170"
"Block24= 15500, 28000, 100, 24, 170, 25, 170"
"Block25= 2000, 32500, 100, 24, 170, 25, 170"
"Block26= 6500, 32500, 100, 24, 170, 25, 170"
"Block27= 11000, 32500, 100, 24, 170, 25, 170"
"Block28= 15500, 32500, 100, 24, 170, 25, 170"
"Block29= 2000, 37000, 100, 24, 170, 25, 170"
"Block30= 6500, 37000, 100, 24, 170, 25, 170"
"Block31= 11000, 37000, 100, 24, 170, 25, 170"
"Block32= 15500, 37000, 100, 24, 170, 25, 170"
"Block"	"Row"	"Column"	"ID"	"Name"
1	1	1	"CGEN_HUM_1000100_1"	"DKFZP434C212--DKFZP434C212 protein"
1	1	2	"CGEN_HUM_1000104_1"	"FLJ21148--Hypothetical protein FLJ21148"
1	1	3	"CGEN_HUM_1000108_1"	"RIN2--Ras and Rab interactor 2"
1	1	4	"CGEN_HUM_1000124_1"	"GPC1--Glypican 1"
1	1	5	"CGEN_HUM_1000128_1"	"Homo sapiens cDNA FLJ10437 fis, clone NT2RP1000581."
1	1	6	"CGEN_HUM_1000132_1"	"OS-9--Amplified in osteosarcoma"
1	1	7	"CGEN_HUM_1000148_1"	"DNCLI2--Dynein, cytoplasmic, light intermediate polypeptide 2"
1	1	8	"CGEN_HUM_1000152_1"	"C11orf11--Chromosome 11 open reading frame 11"
1	1	9	"CGEN_HUM_1000156_1"	"C9orf59--Chromosome 9 open reading frame 59"
1	1	10	"CGEN_HUM_1000172_1"	"KIAA0922--KIAA0922 protein"
1	1	11	"CGEN_HUM_1000176_1"	"NT5C3--5'-nucleotidase, cytosolic III"
1	1	12	"CGEN_HUM_1000180_1"	"TH1L--TH1-like (Drosophila)"
1	1	13	"CGEN_HUM_1000484_1"	"AKR1B10--Aldo-keto reductase family 1, member B10 (aldose reductase)"
1	1	14	"CGEN_HUM_1000488_1"	"SLC25A5--Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5"
1	1	15	"CGEN_HUM_1000492_1"	"NRF1--Nuclear respiratory factor 1"
1	1	16	"CGEN_HUM_1000508_1"	"COX4I1--Cytochrome c oxidase subunit IV isoform 1"
1	1	17	"CGEN_HUM_1000512_1"	"SCO2--SCO cytochrome oxidase deficient homolog 2 (yeast)"
1	1	18	"CGEN_HUM_1000516_1"	"ATP5C1--ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1"
1	1	19	"CGEN_HUM_1000532_1"	"HIBADH--3-hydroxyisobutyrate dehydrogenase"
1	1	20	"CGEN_HUM_1000536_1"	"CS--Citrate synthase"
1	1	21	"CGEN_HUM_1000540_1"	"TPI1--Triosephosphate isomerase 1"
1	1	22	"CGEN_HUM_1000556_1"	"CDNA FLJ14293 fis, clone PLACE1007866"
1	1	23	"CGEN_HUM_1000560_1"	"HK3--Hexokinase 3 (white cell)"
1	1	24	"CGEN_HUM_1000564_1"	"RPA3--Replication protein A3, 14kDa"
1	2	1	"CGEN_HUM_1000868_1"	"PRIM1--Primase, polypeptide 1, 49kDa"
1	2	2	"CGEN_HUM_1000872_1"	"CDC7--CDC7 cell division cycle 7 (S. cerevisiae)"
1	2	3	"CGEN_HUM_1000876_1"	"PURG--Purine-rich element binding protein G"
1	2	4	"CGEN_HUM_1000892_1"	"MRPS23--Mitochondrial ribosomal protein S23"
1	2	5	"CGEN_HUM_1000896_1"	"SCRN3--Secernin 3"
1	2	6	"CGEN_HUM_1000900_1"	"ATXN10--Ataxin 10"
