ATF	1
36	5
"Type=GenePix ArrayList V1.0"
"BlockCount=32"
"BlockType=0"
"URL=http://nciarray.nci.nih.gov/cgi-bin/clone_report.cgi?navigation=1&CRITERIA=clone&PARAMETER=[ID]"
"Block1= 1400, 12300, 130, 24, 185, 23, 185"
"Block2= 5890, 12300, 130, 24, 185, 23, 185"
"Block3= 10380, 12300, 130, 24, 185, 23, 185"
"Block4= 14870, 12300, 130, 24, 185, 23, 185"
"Block5= 1400, 16790, 130, 24, 185, 23, 185"
"Block6= 5890, 16790, 130, 24, 185, 23, 185"
"Block7= 10380, 16790, 130, 24, 185, 23, 185"
"Block8= 14870, 16790, 130, 24, 185, 23, 185"
"Block9= 1400, 21280, 130, 24, 185, 23, 185"
"Block10= 5890, 21280, 130, 24, 185, 23, 185"
"Block11= 10380, 21280, 130, 24, 185, 23, 185"
"Block12= 14870, 21280, 130, 24, 185, 23, 185"
"Block13= 1400, 25770, 130, 24, 185, 23, 185"
"Block14= 5890, 25770, 130, 24, 185, 23, 185"
"Block15= 10380, 25770, 130, 24, 185, 23, 185"
"Block16= 14870, 25770, 130, 24, 185, 23, 185"
"Block17= 1400, 30260, 130, 24, 185, 23, 185"
"Block18= 5890, 30260, 130, 24, 185, 23, 185"
"Block19= 10380, 30260, 130, 24, 185, 23, 185"
"Block20= 14870, 30260, 130, 24, 185, 23, 185"
"Block21= 1400, 34750, 130, 24, 185, 23, 185"
"Block22= 5890, 34750, 130, 24, 185, 23, 185"
"Block23= 10380, 34750, 130, 24, 185, 23, 185"
"Block24= 14870, 34750, 130, 24, 185, 23, 185"
"Block25= 1400, 39240, 130, 24, 185, 23, 185"
"Block26= 5890, 39240, 130, 24, 185, 23, 185"
"Block27= 10380, 39240, 130, 24, 185, 23, 185"
"Block28= 14870, 39240, 130, 24, 185, 23, 185"
"Block29= 1400, 43730, 130, 24, 185, 23, 185"
"Block30= 5890, 43730, 130, 24, 185, 23, 185"
"Block31= 10380, 43730, 130, 24, 185, 23, 185"
"Block32= 14870, 43730, 130, 24, 185, 23, 185"
"Block"	"Row"	"Column"	"ID"	"Name"
1	1	1	IMAGE:502055	"ARSB--arylsulfatase B"
1	1	2	IMAGE:489102	"EPIM--epimorphin"
1	1	3	IMAGE:503841	"PTHLH--parathyroid hormone-like hormon"
1	1	4	IMAGE:280371	"HTR2C--5-hydroxytryptamine (serotonin)"
1	1	5	IMAGE:430614	"BPGM--2,3-bisphosphoglycerate mutase"
1	1	6	IMAGE:489506	"PROS1--protein S (alpha)"
1	1	7	IMAGE:1493527	"ASNS--asparagine synthetase"
1	1	8	IMAGE:1455566	"ADORA3--adenosine A3 receptor"
1	1	9	IMAGE:1472150	"ATP5O--ATP synthase, H+ transporting,"
1	1	10	IMAGE:1492147	"RPS4X--ribosomal protein S4, X-linked"
1	1	11	IMAGE:1493160	"SCYB10--small inducible cytokine subfa"
1	1	12	IMAGE:1461664	"BCHE--butyrylcholinesterase"
1	1	13	IMAGE:85509	"APOC4--apolipoprotein C-IV"
1	1	14	IMAGE:23831	"ALDOC--Aldolase C, fructose-bisphospha"
1	1	15	IMAGE:809598	"HLA-DQB1--major histocompatibility com"
1	1	16	IMAGE:150702	"HOXB5--Homeo box B5 (2.1 protein)"
1	1	17	IMAGE:812246	"HLCS--holocarboxylase synthetase (biot"
1	1	18	IMAGE:171936	"HPCA--hippocalcin"
1	1	19	IMAGE:214068	"GATA3--GATA-binding protein 3"
1	1	20	IMAGE:221092	"GABPB1--GA-binding protein transcripti"
1	1	21	IMAGE:469412	"FH--Mitochondrial fumarate hydratase"
1	1	22	IMAGE:308437	"FUCA1--fucosidase, alpha-L- 1, tissue"
1	1	23	IMAGE:681948	"FHIT--FHIT=diadenosine triphosphate (A"
1	1	24	IMAGE:131839	"FOLR1--folate receptor 1 (adult)"
1	2	1	IMAGE:740476	"IRF1--IRF-1=interferon regulatory fact"
1	2	2	IMAGE:753620	"IGFBP6--insulin-like growth factor bin"
1	2	3	IMAGE:427812	"INSR--insulin receptor"
1	2	4	IMAGE:789369	"ID4--Inhibitor of DNA binding 4, domin"
1	2	5	IMAGE:843287	"MCL1--myeloid cell leukemia sequence 1"
