CloneID	dbEST_ID	GenBank_Accn	CloneName
AC289	Not submitted	Not submitted	dehydrin 1
AC289	Not submitted	Not submitted	dehydrin 1
AC289	Not submitted	Not submitted	dehydrin 1
AC377	Not submitted	Not submitted	Expressed Protein
AC377	Not submitted	Not submitted	Expressed Protein
AC377	Not submitted	Not submitted	Expressed Protein
bbdh1	Not submitted	Not submitted	blueberry dehydrins 1
bbdh1	Not submitted	Not submitted	blueberry dehydrins 1
bbdh1	Not submitted	Not submitted	blueberry dehydrins 1
bbdhn2	Not submitted	Not submitted	blueberry dehydrins 2
bbdhn2	Not submitted	Not submitted	blueberry dehydrins 2
bbdhn2	Not submitted	Not submitted	blueberry dehydrins 2
bbdhn3	Not submitted	Not submitted	blueberry dehydrins 3
bbdhn3	Not submitted	Not submitted	blueberry dehydrins 3
bbdhn3	Not submitted	Not submitted	blueberry dehydrins 3
bbdhn4	Not submitted	Not submitted	blueberry dehydrins 4
bbdhn4	Not submitted	Not submitted	blueberry dehydrins 4
bbdhn4	Not submitted	Not submitted	blueberry dehydrins 4
bbdhn5	Not submitted	Not submitted	blueberry dehydrins 5
bbdhn5	Not submitted	Not submitted	blueberry dehydrins 5
bbdhn5	Not submitted	Not submitted	blueberry dehydrins 5
C307	Not submitted	Not submitted	EST s AU030293
C307	Not submitted	Not submitted	EST s AU030293
C307	Not submitted	Not submitted	EST s AU030293
C853	Not submitted	Not submitted	AKT1-like potassium channel 
C853	Not submitted	Not submitted	AKT1-like potassium channel 
C853	Not submitted	Not submitted	AKT1-like potassium channel 
CA1.1	Not submitted	Not submitted	Unknown
CA1.1	Not submitted	Not submitted	Unknown
CA1.1	Not submitted	Not submitted	Unknown
CA1.1	Not submitted	Not submitted	Unknown
CA1.1	Not submitted	Not submitted	Unknown
CA1.1	Not submitted	Not submitted	Unknown
CA10	20189886	CF810441	phospholipid-hydroperoxide glutathione peroxidase
CA10	20189886	CF810441	phospholipid-hydroperoxide glutathione peroxidase
