Taxon	Scaffold	Gene1	Gene2	Consecutive	Sep	Code	Strand1	Strand2	GNScore	GNWithin	GNAll	GNMinus	CAI	CAI.Alm	CBI	COG	COGanno	COGfun	Annotation	nCAI	nCAI.Alm	nCBI	nCOG	nCOGanno	nCOGfun	nAnnotation	MI	HK	CAIdsqr	CAIdxdy	CAIlogpratio	CAIdxdyR	CAIdsqrR	COGsim	N1	N2	forward	forwardplus	sumBias	same	bbfGNScore	bbfGNMinus	bbfGNWithin	bbfGNAll	bbfHK	bbfMI	bbfCAIdxdyR	bbfCAIdsqrR	COGsimClass	cfCOG	pSame
226185	242	354307	354308	1	 202	Same	+	+	 46.807832	0	 83.846882	 81.50730405	1.648717	2.734816	0.9009431	593	ATPase involved in DNA replication initiation	L	chromosomal replication initiator protein DnaA	1.401190	2.372032	0.8466141	592	DNA polymerase sliding clamp subunit (PCNA homolog)	L	DNA polymerase III, beta subunit	 1.737081e-01	38	6.126998e-02	 2.882301e-02	 1.781756e-01	 2.002406e-01	4.393212e-01	L	38	59	 TRUE	 TRUE	   1	 TRUE	3.797012	3.9074950	1.323281	4.028235	2.235679	2.5497509	1.418358	1.221495	Y	2.925846	0.9899192
226185	242	354308	354309	1	 579	Same	+	+	 10.674668	0	 24.621375	 24.62137500	1.401190	2.372032	0.8466141	592	DNA polymerase sliding clamp subunit (PCNA homolog)	L	DNA polymerase III, beta subunit	1.995278	3.344474	1.0023212	2501	Uncharacterized conserved protein	S	conserved hypothetical protein	 3.684147e-02	11	3.529405e-01	-8.687968e-02	-2.674922e-01	-7.068321e-01	2.835882e+00		59	11	 TRUE	 TRUE	   2	 TRUE	3.098579	3.0475858	1.323281	2.941225	1.310583	1.3683389	1.149467	1.060740	U	1.222610	0.9435419
226185	242	354309	354310	1	 -13	Same	+	+	  8.477444	0	 22.424150	 22.42415042	1.995278	3.344474	1.0023212	2501	Uncharacterized conserved protein	S	conserved hypothetical protein	1.911606	3.080238	0.9780158	1195	Recombinational DNA repair ATPase (RecF pathway)	L	DNA replication and repair protein RecF	 1.981675e-02	11	7.001014e-03	 4.594465e-02	 1.675756e-01	 5.340850e-01	1.552481e-02		11	44	 TRUE	 TRUE	   3	 TRUE	2.885569	2.9744731	1.323281	2.854555	1.310583	1.0965287	1.670337	1.524205	U	1.222610	0.9386694
226185	242	354310	354311	1	  18	Same	+	+	 21.796367	0	 56.362067	 52.31272423	1.911606	3.080238	0.9780158	1195	Recombinational DNA repair ATPase (RecF pathway)	L	DNA replication and repair protein RecF	1.527121	2.565569	0.8911392	187	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit	L	DNA gyrase, B subunit	 5.389576e-02	44	1.478282e-01	-3.671099e-02	-7.814325e-02	-4.263197e-01	1.706572e+00	L	44	44	 TRUE	 TRUE	   4	 TRUE	3.559224	3.6824123	1.323281	3.802588	2.300731	1.6300042	1.136348	1.093193	Y	2.925846	0.9876741
226185	242	354311	354312	1	  56	Same	+	+	 33.681903	0	 67.353786	 63.00855988	1.527121	2.565569	0.8911392	187	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit	L	DNA gyrase, B subunit	1.573890	2.673027	0.9429913	188	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit	L	DNA gyrase, A subunit	 1.224959e-01	44	2.187365e-03	 3.350970e-02	 1.362513e-01	 3.194338e-01	1.750480e-02	L	44	65	 TRUE	 TRUE	   5	 TRUE	3.713928	3.7938040	1.323281	3.916794	2.300731	2.2721319	1.527101	1.512550	Y	2.925846	0.9889067
226185	242	354312	354313	1	 175	Same	+	+	  1.310945	0	  1.310945	 -7.25524823	1.573890	2.673027	0.9429913	188	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit	L	DNA gyrase, A subunit	1.430939	2.334423	0.8909905	360	Ribosomal protein S6	J	ribosomal protein S6	 8.194689e-02	34	2.043511e-02	 4.901037e-02	 2.261108e-01	 4.234355e-01	1.149981e-01	0	65	34	 TRUE	 TRUE	   6	 TRUE	1.471646	0.5868050	1.323281	1.226693	2.125176	1.9865947	1.599798	1.325280	N	1.041454	0.6549255
226185	242	354313	354314	1	  45	Same	+	+	  2.014903	0	  5.908947	  5.90894719	1.430939	2.334423	0.8909905	360	Ribosomal protein S6	J	ribosomal protein S6	1.401015	2.525862	0.9376231	629	Single-stranded DNA-binding protein	L	single-strand binding protein	 9.161747e-05	 2	8.954658e-04	 1.015838e-01	 3.746260e-01	 7.484479e-01	2.198207e-03	0	34	 2	 TRUE	 TRUE	   7	 TRUE	1.779171	2.2287842	1.323281	1.824912	1.130838	0.8491096	1.775231	1.667783	N	1.041454	0.8691886
226185	242	354314	354315	1	  26	Same	+	+	  2.014903	0	  5.908947	  5.90894719	1.401015	2.525862	0.9376231	629	Single-stranded DNA-binding protein	L	single-strand binding protein	1.439670	2.328933	0.9331080	238	Ribosomal protein S18	J	ribosomal protein S18	 4.826042e-03	 2	1.494260e-03	 9.866721e-02	 3.446800e-01	 7.318918e-01	4.291638e-03	0	 2	17	 TRUE	 TRUE	   8	 TRUE	1.779171	2.2287842	1.323281	1.824912	1.130838	0.8866524	1.770253	1.630950	N	1.041454	0.8691886
226185	242	354315	354316	1	 205	Same	+	+	  4.632315	0	  7.768610	  3.34282650	1.439670	2.328933	0.9331080	238	Ribosomal protein S18	J	ribosomal protein S18	1.722995	2.938597	0.9762180	3887	Predicted signaling protein consisting of a modified GGDEF domain and a DHH domain	T	DHH family protein	 1.708331e-01	17	8.027289e-02	 3.560775e-03	 6.001215e-03	-7.667942e-02	8.399834e-01	0	17	17	 TRUE	 TRUE	   9	 TRUE	2.375092	2.0782327	1.323281	1.969167	1.651920	2.5393328	1.127462	1.154776	N	1.041454	0.8675678
226185	242	354316	354317	1	   6	Same	+	+	 13.600668	0	 40.434349	 40.43434939	1.722995	2.938597	0.9762180	3887	Predicted signaling protein consisting of a modified GGDEF domain and a DHH domain	T	DHH family protein	1.431841	2.334570	0.8424211	359	Ribosomal protein L9	J	ribosomal protein L9	 1.993415e-02	17	8.477045e-02	 3.655152e-03	 9.062173e-02	-7.829435e-02	8.720705e-01	0	17	54	 TRUE	 TRUE	  10	 TRUE	3.325464	3.5234564	1.323281	3.541489	1.651920	1.0992299	1.127236	1.151121	N	1.041454	0.9565696
226185	242	354317	354318	1	 273	Same	+	+	 55.924810	0	111.067962	105.17527381	1.431841	2.334570	0.8424211	359	Ribosomal protein L9	J	ribosomal protein L9	1.684600	2.799207	0.9624572	305	Replicative DNA helicase	L	replicative DNA helicase	 2.249681e-01	54	6.388684e-02	 1.529690e-02	 4.306571e-02	 5.291618e-02	6.049383e-01	0	54	55	 TRUE	 TRUE	  11	 TRUE	3.832552	3.9767616	1.323281	4.109453	2.398448	2.6748233	1.219416	1.187059	N	1.041454	0.9708651
226185	242	354318	354319	1	 237	Same	+	+	  3.552882	0	 16.181205	  5.62359753	1.684600	2.799207	0.9624572	305	Replicative DNA helicase	L	replicative DNA helicase	1.376934	2.362472	0.8413780	104	Adenylosuccinate synthase	F	adenylosuccinate synthetase	 2.326069e-05	55	9.465800e-02	 1.806697e-02	 1.534424e-01	 5.748419e-02	7.231006e-01	0	55	62	 TRUE	 TRUE	  12	 TRUE	2.189491	2.2040465	1.323281	2.522509	2.412171	0.8509191	1.226873	1.170116	N	1.041454	0.8745590
226185	242	354319	354320	1	 125	Same	+	+	  0.000000	0	  0.000000	 -4.36708738	1.376934	2.362472	0.8413780	104	Adenylosuccinate synthase	F	adenylosuccinate synthetase	1.697879	2.835285	0.9406853	1307	Uncharacterized protein conserved in bacteria	S	DegV family protein	 5.070227e-03	12	1.030054e-01	 1.331151e-02	 1.895112e-02	 2.346294e-03	8.294214e-01		62	12	 TRUE	 TRUE	  13	 TRUE	1.032943	0.5967644	1.323281	1.033049	1.385671	0.8889443	1.155212	1.155565	U	1.222610	0.6652099
