gene_oid	Start Coord	End Coord	Strand	GC	Locus Tag	Gene Symbol	Description	Scaffold Name	MyIMG_Annotation
633210355	101	1261	+	.39	Saci_0001	cdc6-3	cell division control protein 6-like protein 3	Sulfolobus acidocaldarius DSM 639 chromosome	
633210360	1294	1629	+	.32	Saci_0002		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210365	1665	2504	+	.33	Saci_0003		conserved Crenarchaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210370	2553	3110	-	.32	Saci_0004		conserved Crenarchaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210375	3049	3768	-	.35	Saci_0005		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210380	3801	4052	-	.32	Saci_0006		transcriptional regulator ArsR family	Sulfolobus acidocaldarius DSM 639 chromosome	
633210385	4138	4392	-	.31	Saci_0007		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210390	4456	5271	-	.35	Saci_0008		carbon-nitrogen hydrolase	Sulfolobus acidocaldarius DSM 639 chromosome	
633210395	5262	6101	-	.38	Saci_0009	nadE	NH(3)-dependent NAD(+) synthetase( EC:6.3.5.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633210400	6117	7637	-	.36	Saci_0010		conserved Archaeal membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210405	7727	8245	-	.35	Saci_0011		universally conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210410	8367	9035	+	.37	Saci_0012		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210415	8989	9516	-	.35	Saci_0013	nudF	ADP-ribose pyrophosphatase( EC:3.6.1.13 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633210420	9521	10129	-	.3	Saci_0014		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210425	10199	11032	+	.37	Saci_0015		endonuclease IV( EC:3.1.21.2 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633210430	11025	11702	+	.33	Saci_0016		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210435	11673	12095	-	.34	Saci_0017		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210440	12269	12931	-	.32	Saci_0018		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210445	12928	13242	-	.31	Saci_0019		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210450	13239	14261	-	.38	Saci_0020		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210455	13855	14250	+	.38	Saci_0021		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210460	14302	14658	+	.27	Saci_0022		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210465	14685	15683	+	.37	Saci_0023	nadA	quinolinate synthetase A	Sulfolobus acidocaldarius DSM 639 chromosome	
