gene_id,gi,genbank_locus_tag,gene_start,gene_stop,definition
SMu0001,24378533,SMU.01,194,1552,chromosomal replication initiator protein DnaA
SMu0002,24378534,SMU.02,1708,2844,DNA polymerase III, beta subunit
SMu0003,24378535,SMU.05,3106,3297,conserved hypothetical protein
SMu0004,24378536,SMU.06,3461,4576,uncharacterized GTP-binding protein
SMu0005,24378537,SMU.07,4663,5232,peptidyl-tRNA hydrolase
SMu0006,24378538,SMU.08,5234,8722,transcription-repair coupling factor
SMu0007,24378539,SMU.09,8852,9124,small RNA binding protein
SMu0008,24378540,SMU.10,9111,9482,cell-division protein DivIC
SMu0009,24378541,SMU.11,9482,9601,Streptococcus-specific protein
SMu0010,24378542,SMU.12,9632,10846,conserved hypothetical protein
SMu0011,24378543,SMU.13,10843,12114,cell-cycle protein, PP-loop superfamily
SMu0012,24378544,SMU.14,12118,12660,hypoxanthine-guanine phosphoribosyltransferase
SMu0013,24378545,SMU.15,12682,14652,cell division protein FtsH
SMu0014,24378546,SMU.16,15140,16555,amino acid permease
SMu0015,24378547,SMU.18,16624,16761,hypothetical protein
SMu0016,24378548,SMU.20,23655,24464,cell shape-determining protein MreC
SMu0017,24378549,SMU.21,24466,24972,cell shape-determining protein MreD
SMu0018,24378550,SMU.22,25082,26377,glucan-binding protein B
SMu0019,24378551,SMU.23,26502,27470,phosphoribosyl pyrophosphate synthetase (PRPP synthetase)
SMu0020,24378552,SMU.24,27559,28734,aspartate or aromatic amino acid aminotransferase
SMu0021,24378553,SMU.25,28724,29479,DNA repair protein RecO (recombination protein O)
SMu0022,24378554,SMU.26,29687,30685,fatty acid/phospholipid synthesis protein
SMu0023,24378555,SMU.27,30687,30935,acyl carrier protein
SMu0024,24378556,SMU.28,31163,31744,ABC transporter, ATP-binding protein
SMu0025,24378557,SMU.29,31867,32574,phosphoribosylaminoimidazole-succinocarboxamide synthase
SMu0026,24378558,SMU.30,32584,36309,phosphoribosylformylglycinamidine synthase
SMu0027,24378559,SMU.31,36331,36951,conserved hypothetical protein
SMu0028,24378560,SMU.32,36977,38416,amidophosphoribosyltransferase
SMu0029,24378561,SMU.33,38633,38914,hypothetical protein
SMu0030,24378562,SMU.34,38960,39982,phosphoribosylformylglycinamide cyclo-ligase (AIRS)
SMu0031,24378563,SMU.35,39982,40536,phosphoribosylglycinamide formyltransferase
SMu0032,24378564,SMU.36,40643,41350,conserved hypothetical protein (eukaryotic-like)
SMu0033,24378565,SMU.37,41377,42939,phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase
SMu0034,24378566,SMU.38c,43664,43122,AcrR/TetR related transcriptional regulator
SMu0035,24378567,SMU.39,43832,44341,conserved hypothetical protein
SMu0036,24378568,SMU.40,44518,44679,conserved hypothetical protein
SMu0037,24378569,SMU.41,44663,44764,hypothetical protein
SMu0038,24378570,SMU.42,44831,45709,conserved hypothetical protein
SMu0039,24378571,SMU.43,45781,47160,conserved hypothetical protein (possible site-specific DNA-methyltransferase/restriction modification enzyme)
SMu0040,24378572,SMU.44,47171,47782,conserved hypothetical protein
SMu0041,24378573,SMU.45,47969,49570,hypothetical protein
SMu0042,24378574,SMU.46,49572,50207,hypothetical protein
SMu0043,24378575,SMU.47,50207,50815,hypothetical protein
SMu0044,24378576,SMU.48,51039,52298,phosphoribosylamine-glycine ligase
SMu0045,24378577,SMU.49,52358,53539,hypothetical protein
SMu0046,24378578,SMU.50,53862,54350,phosphoribosylaminoimidazole carboxylase catalytic subunit
SMu0047,24378579,SMU.51,54337,55428,phosphoribosylaminoimidazole carboxylase, ATPase subunit
SMu0048,24378580,SMU.52,55428,56093,conserved hypothetical protein
SMu0049,24378581,SMU.53,56109,56324,conserved hypothetical protein
SMu0050,24378582,SMU.54,56331,57023,amino acid racemase
SMu0051,24378583,SMU.55,57125,57388,hypothetical protein
SMu0052,24378584,SMU.56,57408,57536,Streptococcus-specific protein
SMu0053,24378585,SMU.58,57639,58934,hypothetical protein
SMu0054,24378586,SMU.59,59244,60542,adenylosuccinate lyase
SMu0055,24378587,SMU.60,60562,61248,DNA alkylation repair enzyme
SMu0056,24378588,SMU.61,61631,62545,transcriptional regulator, Cro/CI family
SMu0057,24378589,SMU.63c,64920,63079,conserved hypothetical protein
SMu0058,24378590,SMU.64,65217,66251,Holliday junction DNA helicase
SMu0059,24378591,SMU.65,66289,66714,protein tyrosine-phosphatase
SMu0060,24378592,SMU.66,66779,67162,conserved hypothetical protein; possible phosphatidylinositol-4-phosphate 5-kinase
SMu0061,24378593,SMU.67,67159,68949,acyltransferase
SMu0062,24378594,SMU.68,69215,69292,hypothetical protein
SMu0063,24378595,SMU.70,69631,71115,threonine synthase
SMu0064,24378596,SMU.71,71523,72872,MATE efflux family protein
SMu0065,161486825,SMU.72,73219,73497,conserved hypothetical protein
SMu0066,24378598,SMU.73,73517,74854,conserved hypothetical protein
SMu0067,24378599,SMU.74,74927,75637,phosphoglycerate mutase-like protein
SMu0068,24378600,SMU.75,75621,76370,D-alanyl-D-alanine carboxypeptidase (penicillin binding protein)
SMu0069,24378601,SMU.76,76374,76961,N-acetyl-muramidase (N-acetylmuramoyl-L-alanine amidase)
SMu0070,24378602,SMU.78,77576,81847,fructan hydrolase; exo-beta-D-fructosidase
SMu0071,24378603,SMU.79,81918,83477,fructan hydrolase; exo-beta-D-fructosidase
SMu0072,24378604,SMU.80,83652,84686,heat-inducible transcription repressor
SMu0073,24378605,SMU.81,84729,85268,co-chaperone protein GrpE
SMu0074,24378606,SMU.82,85642,87480,chaperone protein, DnaK
SMu0075,24378607,SMU.83,88008,89141,co-chaperone protein DnaJ
SMu0076,24378608,SMU.84,89443,90192,tRNA pseudouridine synthase A
SMu0077,24378609,SMU.85,90182,90949,phosphomethylpyrimidine kinase
SMu0078,24378610,SMU.86,90936,91400,conserved hypothetical protein
SMu0079,24378611,SMU.87,91445,92008,conserved hypothetical protein
SMu0080,24378612,SMU.88c,93036,92179,mechanosensitive ion channel protein
SMu0081,24378613,SMU.89c,94063,93254,nitrite transporter
SMu0082,24378614,SMU.91,94301,95584,peptidyl-prolyl isomerase, trigger factor
SMu0083,24378615,SMU.92c,95861,95724,transposase fragment
SMu0084,24378616,SMU.93c,96090,95980,transposase fragment
SMu0085,24378617,SMU.94c,96461,96291,transposase fragment
SMu0086,161486824,SMU.96,97182,97670,DNA-directed RNA polymerase, delta subunit
SMu0087,24378619,SMU.97,97804,99414,CTP synthetase
SMu0088,24378620,SMU.99,100574,101455,fructose-bisphosphate aldolase
