#gi	CAI	CAI_Alm	CBI	COG	COGanno	COGfun	Annotation
8561	1.44466081168187	2.37857181868652	0.83347825458394	436	Aspartate/tyrosine/aromatic aminotransferase	E	aspartate aminotransferase (aspB1)
8562	1.53215107876029	2.47925072781901	0.860992492497028	3541	Predicted nucleotidyltransferase	R	M. jannaschii predicted coding region MJ0002
8563	1.42007008730203	2.27559557593142	0.823465103115335	5418	Predicted secreted protein	S	M. jannaschii predicted coding region MJ0003
8564	1.40059539980118	2.32116481741182	0.834970772366079	1924	Activator of 2-hydroxyglutaryl-CoA dehydratase (HSP70-class ATPase domain)	I	(R)-2-hydroxyglutaryl-CoA dehydratase activator
8565	1.50720309344623	2.43932312755345	0.864030203187694	1035	Coenzyme F420-reducing hydrogenase, beta subunit	C	formate dehydrogenase, beta subunit
8566	1.49120018692	2.44044552126169	0.877602850617408	243	Anaerobic dehydrogenases, typically selenocysteine-containing	C	formate dehydrogenase, alpha subunit
8567	1.44972919982759	2.32999911966508	0.839907408453802	1775	Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB	E	2-hydroxyglutaryl-CoA dehydratase, subunit beta (hgdB)
8568	1.62975806906522	2.60916125868738	0.881072789423304	1082	Sugar phosphate isomerases/epimerases	G	M. jannaschii predicted coding region MJ0008
8569	1.62126367247218	2.60719935777665	0.868083982831204	-	-	-	M. jannaschii predicted coding region MJ0009
8570	1.59282146321377	2.58579961381699	0.92092946350132	3635	Predicted phosphoglycerate mutase, AP superfamily	G	BcpC phosphonopyruvate decarboxylase
8571	1.46251645489577	2.39891007096106	0.865520998678781	-	-	-	M. jannaschii predicted coding region MJ0011
8572	1.97116679874391	3.09064863025724	0.948997282765787	675	Transposase and inactivated derivatives	L	transposase-related protein
8573	1.75090432131445	2.77166156062082	0.946774168610897	675	Transposase and inactivated derivatives	L	M. jannaschii predicted coding region MJ0013
8574	1.80130014321932	2.93343134566817	0.925038478627598	2452	Predicted site-specific integrase-resolvase	L	conserved hypothetical protein
8575	1.84430004675773	2.90447354207749	0.967073424909826	241	Histidinol phosphatase and related phosphatases	E	conserved hypothetical protein
8576	2.09164748040602	3.48545024894177	1.07905919108659	-	-	-	M. jannaschii predicted coding region MJ0016
8577	1.9500028286101	3.18139287552218	0.96382120262122	3316	Transposase and inactivated derivatives	L	transposase, similar to IS240
8578	1.40838458165628	2.41851022937997	0.838552898866784	-	-	-	M. jannaschii predicted coding region MJ0018
8579	1.3790338653641	2.22936017048258	0.785631156949526	2511	Archaeal Glu-tRNAGln amidotransferase subunit E (contains GAD domain)	J	Glu-tRNA amidotransferase (gatB)
8580	1.41392988315565	2.343894748	0.846427689705765	252	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D	EJ	asparaginase (ansA)
8581	1.42624146705047	2.29723367442124	0.836553765594292	2108	Uncharacterized conserved protein related to pyruvate formate-lyase activating enzyme	R	conserved hypothetical protein
8582	1.35072678970746	2.2419850095213	0.804035216810446	1903	Cobalamin biosynthesis protein CbiD	H	cobalamin biosynthesis protein (cbiD)
8583	1.44279969107582	2.40461579522535	0.863228498465182	-	-	-	M. jannaschii predicted coding region MJ0023
8584	1.36338224204263	2.13312018694201	0.795742382498213	1371	Uncharacterized conserved protein	S	conserved hypothetical protein
8585	1.44614139508304	2.3968808348421	0.859537846260786	430	RNA 3'-terminal phosphate cyclase	A	hypothetical protein
8586	1.32949891563635	2.16546069768947	0.770802575718283	144	tRNA and rRNA cytosine-C5-methylases	J	proliferating-cell nucleolar antigen, FMU/NOL1/NOP2 family
8587	1.4757334475767	2.45811556769843	0.860947107024518	-	-	-	M. jannaschii predicted coding region MJ0027
8588	1.6141136074432	2.64068139648851	0.910792375240574	611	Thiamine monophosphate kinase	H	thiamine monphosphate kinase (thiL)
8589	1.44506984263438	2.35470224907871	0.823289218548028	3259	Coenzyme F420-reducing hydrogenase, alpha subunit	C	coenzyme F420-reducing hydrogenase, alpha subunit, selenocysteine-containing
8590	1.42336502092991	2.32182175786568	0.845286220414096	680	Ni,Fe-hydrogenase maturation factor	C	coenzyme F420-reducing hydrogenase, delta subunit (frcD)
8591	1.47149554120949	2.45424442791831	0.890206059442206	1941	Coenzyme F420-reducing hydrogenase, gamma subunit	C	coenzyme F420-reducing hydrogenase, gamma subunit
8592	1.4518564714191	2.35391850233944	0.859339701271709	1035	Coenzyme F420-reducing hydrogenase, beta subunit	C	coenzyme F420-reducing hydrogenase, beta subunit (frhB)
8593	1.41228498966771	2.28295260993172	0.801091930876768	1053	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit	C	succinate dehydrogenase, flavoprotein subunit (sdhA)
8594	1.45505392161915	2.45236374522184	0.87491426712317	719	ABC-type transport system involved in Fe-S cluster assembly, permease component	O	conserved hypothetical protein
8595	1.49238449803859	2.42008685471988	0.859460999577434	396	ABC-type transport system involved in Fe-S cluster assembly, ATPase component	O	ABC transporter subunit
8596	1.74964141363002	2.81123088098951	0.856778061743523	184	Ribosomal protein S15P/S13E	J	SSU ribosomal protein S15P (rpsO)
8597	1.49406338020909	2.39319415836123	0.830232937950069	1407	Predicted ICC-like phosphoesterases	R	conserved hypothetical protein
8598	1.44996086836501	2.23294747349217	0.814556254633843	1491	Predicted RNA-binding protein	J	conserved hypothetical protein
8599	1.34840220473703	2.21321743721801	0.901957084929562	1460	Uncharacterized protein conserved in archaea	S	conserved hypothetical protein
8600	1.32708669940421	2.08866068455889	0.892391198691786	2139	Ribosomal protein L21E	J	LSU ribosomal protein L21E
8601	1.42534371265078	2.27139192106448	0.816816453605269	1258	Predicted pseudouridylate synthase	J	conserved hypothetical protein
8602	1.41680857361069	2.27900582715903	0.814643632384103	-	-	-	M. jannaschii predicted coding region MJ0042
8603	1.45784500934817	2.33182393141312	0.830980778886646	1372	Intein/homing endonuclease	L	intein containing hypothetical protein
8604	1.42775782196525	2.32486842535493	0.862200039889198	1608	Predicted archaeal kinase	R	conserved hypothetical protein
8605	1.43235348026808	2.26075233422439	0.799047215775325	500	SAM-dependent methyltransferases	QR	conserved hypothetical protein
8606	1.3849936180519	2.25024013906223	0.818160764894944	500	SAM-dependent methyltransferases	QR	conserved hypothetical protein
8607	1.48272867922124	2.43219213382387	0.838003554585753	1236	Predicted exonuclease of the beta-lactamase fold involved in RNA processing	J	putative mRNA 3'-end processing factor 1
8608	2.27828269039544	3.7565994287562	1.02174637412606	-	-	-	M. jannaschii predicted coding region MJ0047.1
8609	1.59360985093461	2.68517356065999	0.943470850616801	1976	Translation initiation factor 6 (eIF-6)	J	conserved hypothetical protein
8610	1.31887502696272	2.12513550066163	0.902720042047153	2097	Ribosomal protein L31E	J	LSU ribosomal protein L31E
